Object ID,State GNIS Code,Geographic Identifier - FIPS Code,State FIPS Postal Code,Name,Area of Land (Square Meters),Area of Water (Square Meters),Median Household Income in past 12 months (inflation-adjusted dollars to last year of 5-year range),Median Household Income in past 12 months (inflation-adjusted dollars to last year of 5-year range) - Margin of Error,"Median Household Income in past 12 months, Householder under 25 years","Median Household Income in past 12 months, Householder under 25 years - Margin of Error","Median Household Income in past 12 months, Householder 25 to 44 years","Median Household Income in past 12 months, Householder 25 to 44 years - Margin of Error","Median Household Income in past 12 months, Householder 45 to 64 years","Median Household Income in past 12 months, Householder 45 to 64 years - Margin of Error","Median Household Income in past 12 months, Householder 65 years and over","Median Household Income in past 12 months, Householder 65 years and over - Margin of Error","Median Household Income in past 12 months, Black or African American Householder","Median Household Income in past 12 months, Black or African American Householder - Margin of Error","Median Household Income in past 12 months, American Indian and Alaska Native Householder","Median Household Income in past 12 months, American Indian and Alaska Native Householder - Margin of Error","Median Household Income in past 12 months, Asian Householder","Median Household Income in past 12 months, Asian Householder - Margin of Error","Median Household Income in past 12 months, Native Hawaiian and Other Pacific Islander Householder","Median Household Income in past 12 months, Native Hawaiian and Other Pacific Islander Householder - Margin of Error","Median Household Income in past 12 months, Some Other Race Householder","Median Household Income in past 12 months, Some Other Race Householder - Margin of Error","Median Household Income in past 12 months, 2 or More Races Householder","Median Household Income in past 12 months, 2 or More Races Householder - Margin of Error","Median Household Income in past 12 months, Non-Hispanic White Householder","Median Household Income in past 12 months, Non-Hispanic White Householder - Margin of Error","Median Household Income in past 12 months, Hispanic or Latino Householder","Median Household Income in past 12 months, Hispanic or Latino Householder - Margin of Error",Total Households,Total Households - Margin of Error,Households with any self-employment income in past 12 months,Households with any self-employment income in past 12 months - Margin of Error,Households with no self-employment income in past 12 months,Households with no self-employment income in past 12 months - Margin of Error,Percent of households with any self-employment income,Percent of households with any self-employment income - Margin of Error,x,y
17,00481813,20,KS,Kansas,211755344060,1344141205,57422,337,30933,987,63335,633,70828,629,42618,401,35829,1193,43943,4864,68821,3118,51903,4881,45833,1847,46653,2989,60985,364,45236,915,1124549,4096,137361,2073,987188,4032,12.2,0.178891156839965,-98.380978436543,38.500201327931
18,01779786,21,KY,Kentucky,102279490672,2375337755,48392,291,28083,852,55744,626,56133,491,36617,323,33642,921,33200,4516,62655,2301,34885,18047,37116,2618,40146,2061,50398,324,40559,1896,1728681,5065,163661,2546,1565020,4738,9.5,0.144644074114011,-85.2821599133082,37.5343728740713
19,01629543,22,LA,Louisiana,111897594374,23753621895,47942,363,25552,1026,53554,640,56728,744,35363,385,29508,466,41664,4152,61351,3295,56667,19519,36882,2090,44816,3122,59267,600,44169,1367,1736021,5617,157831,2654,1578190,5216,9.1,0.150021570574275,-92.7826889226491,31.3393935291076
20,01779787,23,ME,Maine,79887426037,11746549764,55425,588,32310,1821,63962,1006,66472,853,39377,531,38655,5108,32670,5178,55656,8132,70500,70267,55332,17006,39828,3182,56100,605,49082,4592,556955,2215,80965,1923,475990,2430,14.5,0.340395549806635,-69.2227764588879,45.4025915694396
21,01714934,24,MD,Maryland,25151100280,6979966958,81868,431,39748,1247,84605,669,99403,769,57240,545,65039,716,69955,3572,102786,2101,89265,15480,64028,1280,77834,2685,91898,529,70412,1029,2192518,5412,233680,2889,1958838,5509,10.7,0.12911325397142,-76.7715506628638,39.0398449722806
22,00606926,25,MA,Massachusetts,20205125364,7129925486,77378,425,38244,1835,88230,772,96031,732,47486,420,48382,1148,42686,4356,91713,1904,79919,9217,40262,1133,61053,2696,84442,435,41289,742,2601914,4637,294515,3550,2307399,5202,11.3,0.134938527372221,-71.7182362783715,42.3595787789504
23,01779789,26,MI,Michigan,146600952990,103885855702,54938,166,29150,565,60650,424,67108,438,42287,190,33649,454,42336,2300,82733,1664,58547,12960,43310,2071,43428,1720,59441,221,46629,929,3909509,9207,352135,3093,3557374,8714,9,0.0762181019138087,-84.6218792735369,43.5099917497743
24,00662849,27,MN,Minnesota,206228939448,18945217189,68411,276,36440,858,77555,541,83576,458,45519,369,34879,986,36429,2316,75437,1342,72917,22006,45676,1954,54537,2136,71944,273,48574,1180,2167801,5845,262087,2645,1905714,5262,12.1,0.117577856693736,-94.310728750067,46.3849060350948
25,01779790,28,MS,Mississippi,121533519481,3926919758,43567,395,25227,1318,48185,684,50409,656,34275,487,29690,444,33297,3467,59478,4391,26287,15286,42112,2269,40069,2773,54459,465,43128,2086,1105576,4591,93793,2353,1011783,5055,8.5,0.209894319578278,-89.6639862469001,32.7777294970023
26,01779791,29,MO,Missouri,178050802184,2489425460,53560,221,28670,810,60699,508,64219,440,40184,315,35710,456,40824,4123,67526,2965,48696,14984,37554,1834,42327,1591,56891,274,45677,1191,2396271,6753,246991,3074,2149280,6315,10.3,0.124950759690256,-92.487249009426,38.3980950254954
27,00767982,30,MT,Montana,376962738765,3869208832,52559,587,29264,1641,60392,1260,61929,1160,40168,635,41484,8289,32072,1712,58774,5278,36380,3060,48125,11655,39415,2915,54051,645,42094,2210,423240,2033,64830,1585,358410,2245,15.3,0.367193063180816,-109.651355383648,47.0727679385086
28,01779792,31,NE,Nebraska,198956658395,1371829134,59116,346,31669,924,65648,710,73502,753,42172,593,34122,1919,37398,3963,56627,3382,42063,20251,46853,3112,44305,3282,62607,371,47200,1438,754063,2749,100104,1642,653959,2965,13.3,0.212307514537988,-99.8188235655442,41.5432784559851
29,01779793,32,NV,Nevada,284329506470,2047206072,57598,408,35767,767,60571,713,66537,781,45468,568,39726,1174,41478,2422,65460,1728,57109,5486,45541,1091,56504,2520,63583,479,49873,921,1075930,3357,98132,2189,977798,3778,9.1,0.201451869327364,-116.666840532159,39.413802164941
30,01779794,33,NH,New Hampshire,23189413166,1026675248,74057,714,40545,2939,82169,1346,89737,1260,49751,793,51630,5576,47902,13356,83301,3282,,,68229,22926,58643,5440,74973,739,55157,3721,528078,2194,65393,1313,462685,2409,12.4,0.243256399988536,-71.5761834052645,43.6962432015678
31,01779795,34,NJ,New Jersey,19047825980,3544860246,79363,386,37186,1339,85767,688,97649,734,51492,428,51309,698,53507,5102,116131,1311,48429,12110,47407,1005,68823,2847,90860,469,54160,730,3213362,6651,301652,3533,2911710,6819,9.4,0.108216678437597,-74.7267741526774,39.6169036407543
32,00897535,35,NM,New Mexico,314196306401,728776523,48059,438,26961,1149,50836,739,55842,838,40143,661,38490,4234,33552,881,65019,3537,47311,25553,35625,1079,46036,3063,58181,770,40641,691,775651,3254,76796,2051,698855,3675,9.9,0.261140417671447,-106.106409224733,34.4614491432654
