Object ID,State GNIS Code,Geographic Identifier - FIPS Code,State FIPS Postal Code,Name,Area of Land (Square Meters),Area of Water (Square Meters),Total Workers 16 Years and Over,Total Workers 16 Years and Over - Margin of Error,"All Workers who commuted by car, truck, or van","All Workers who commuted by car, truck, or van - Margin of Error",Workers who drove alone,Workers who drove alone - Margin of Error,Workers who carpooled,Workers who carpooled - Margin of Error,All Workers who commuted by public transportation (excluding taxicab),All Workers who commuted by public transportation (excluding taxicab) - Margin of Error,Workers who commuted by bus or trolley bus,Workers who commuted by bus or trolley bus - Margin of Error,Workers who commuted by streetcar or trolley car (carro público in Puerto Rico),Workers who commuted by streetcar or trolley car (carro público in Puerto Rico) - Margin of Error,Workers who commuted by subway or elevated,Workers who commuted by subway or elevated - Margin of Error,Workers who commuted by railroad,Workers who commuted by railroad - Margin of Error,Workers who commuted by ferryboat,Workers who commuted by ferryboat - Margin of Error,Workers who commuted by taxicab,Workers who commuted by taxicab - Margin of Error,Workers who commuted by motorcycle,Workers who commuted by motorcycle - Margin of Error,Workers who commuted by bicycle,Workers who commuted by bicycle - Margin of Error,Workers who commuted by walking,Workers who commuted by walking - Margin of Error,Workers who commuted by other means,Workers who commuted by other means - Margin of Error,Workers who worked at home,Workers who worked at home - Margin of Error,Percent of workers who commuted by driving alone,Percent of workers who commuted by driving alone - Margin of Error,Percent of workers who commuted by carpooling,Percent of workers who commuted by carpooling - Margin of Error,Percent of workers who commuted by public transportation,Percent of workers who commuted by public transportation - Margin of Error,Percent of workers who commuted by bus or trolley bus,Percent of workers who commuted by bus or trolley bus - Margin of Error,Percent of workers who commuted by streetcar or trolley car,Percent of workers who commuted by streetcar or trolley car - Margin of Error,Percent of workers who commuted by subway or elevated,Percent of workers who commuted by subway or elevated - Margin of Error,Percent of workers who commuted by railroad,Percent of workers who commuted by railroad - Margin of Error,Percent of workers who commuted by ferryboat,Percent of workers who commuted by ferryboat - Margin of Error,Percent of workers who commuted by taxicab,Percent of workers who commuted by taxicab - Margin of Error,Percent of workers who commuted by motorcycle,Percent of workers who commuted by motorcycle - Margin of Error,Percent of workers who commuted by bicycle,Percent of workers who commuted by bicycle - Margin of Error,Percent of workers who commuted by walking,Percent of workers who commuted by walking - Margin of Error,Percent of workers who commuted by other means,Percent of workers who commuted by other means - Margin of Error,Percent of workers who worked at home,Percent of workers who worked at home - Margin of Error,x,y
21,01714934,24,MD,Maryland,25151100280,6979966958,3021967,6485,2506407,7636,2233034,7075,273373,4234,258397,3596,122601,2839,1602,315,111886,2208,21835,975,473,123,7710,776,2553,331,10199,618,70350,2067,23926,1383,142425,2607,73.9,0.172240285103534,9,0.138756030003782,8.6,0.117572093529926,4.1,0.0935411566739589,0.1,0.010423053586613,3.7,0.0726317195582578,0.7,0.0322264742387498,0,0.00407005806899671,0.3,0.0256728017416634,0.1,0.0109516303989272,0.3,0.0204374276729748,2.3,0.0682164794544297,0.8,0.0457333449752506,4.7,0.0856734032518414,-76.7715506628638,39.0398449722806
22,00606926,25,MA,Massachusetts,20205125364,7129925486,3500223,8983,2721039,9285,2458064,9516,262975,4858,358143,4211,118713,3159,7175,690,168360,3215,60504,1666,3391,371,8352,698,2932,455,29651,1321,171603,3058,32469,1575,176034,2721,70.2,0.203543992874798,7.5,0.137445272126693,10.2,0.117405798971523,3.4,0.0898306794650746,0.2,0.0197060087328225,4.8,0.0910179990278089,1.7,0.0473897791516129,0.1,0.0105964081373166,0.2,0.0199321816908013,0.1,0.0129973940121158,0.8,0.0376777821653539,4.9,0.08645509454696,0.9,0.0449341117679064,5,0.0766589209045179,-71.7182362783715,42.3595787789504
23,01779789,26,MI,Michigan,146600952990,103885855702,4504994,9085,4110477,8819,3714050,8490,396427,4658,61568,1815,59491,1811,427,140,845,217,336,94,469,144,5082,543,4067,392,19549,919,101150,1945,28104,1106,174997,2632,82.4,0.0887372478147645,8.8,0.101862106254977,1.4,0.0401942419827874,1.3,0.0401115238637286,0,0.00310760351121294,0,0.00481672803532984,0,0.00208651904449079,0,0.0031963836993405,0.1,0.0120511431270787,0.1,0.00869954964065921,0.4,0.0203808042925207,2.2,0.0429362142829422,0.6,0.0245182766445655,3.9,0.0578964839451812,-84.6218792735369,43.5099917497743
24,00662849,27,MN,Minnesota,206228939448,18945217189,2879806,6384,2488145,6475,2243581,6287,244564,3504,103390,2077,93750,2155,1918,261,4242,470,3216,329,264,90,2632,386,4209,398,22023,923,78319,1742,18148,820,162940,2844,77.9,0.133541154847053,8.5,0.120209619067042,3.6,0.071682445363697,3.3,0.0744826310645111,0.1,0.00906190781706613,0.1,0.0163172767852913,0.1,0.0114216980866524,0,0.00312514444283125,0.1,0.0134021493115107,0.1,0.0138165770017613,0.8,0.0320059036682057,2.7,0.0601889998363875,0.6,0.0284398499680603,5.7,0.0979569028817762,-94.310728750067,46.3849060350948
25,01779790,28,MS,Mississippi,121533519481,3926919758,1215697,6668,1148639,6650,1037238,6780,111401,2705,3393,477,3136,455,37,31,27,42,34,38,159,100,522,178,1104,266,1233,287,17028,860,15999,1034,27779,1254,85.3,0.303369943071943,9.2,0.216755077729499,0.3,0.0392068761590251,0.3,0.0374003356202046,0,0.00254992285999224,0,0.00345478675279222,0,0.00312574123310292,0,0.00822542106434882,0,0.0146399120686435,0.1,0.0218747819249775,0.1,0.0236013009771361,1.4,0.0703229031212542,1.3,0.0847472324575042,2.3,0.10238645774364,-89.6639862469001,32.7777294970023
26,01779791,29,MO,Missouri,178050802184,2489425460,2855663,7320,2588131,8198,2338107,7930,250024,3872,40311,1817,36497,1725,447,138,2559,407,635,159,173,74,2536,445,3338,396,6147,491,55495,1921,21955,1189,137750,2558,81.9,0.181841076344318,8.8,0.13371995613497,1.4,0.0635249850650009,1.3,0.060317384472133,0,0.00483233641803687,0.1,0.0142505308539665,0,0.00556759212058267,0,0.00259129565540266,0.1,0.0155814084787646,0.1,0.0138639450839427,0.2,0.0171850497773969,1.9,0.0670851503462877,0.8,0.0415898997452105,4.8,0.0887188890425832,-92.487249009426,38.3980950254954
27,00767982,30,MT,Montana,376962738765,3869208832,499849,2992,426229,2967,378154,3196,48075,1857,3852,436,3702,428,14,22,34,42,7,10,95,56,312,154,842,189,6305,598,25889,1039,3917,396,32503,1198,75.7,0.451389025542056,9.6,0.367024386902289,0.8,0.0871042842192672,0.7,0.0855110179753467,0,0.00440129727048161,0,0.00840243891845673,0,0.00200058662043426,0,0.0112028057953332,0.1,0.0308070388208893,0.2,0.0377979723301901,1.3,0.119397635375821,5.2,0.205537750801081,0.8,0.0790849400358421,6.5,0.23649068228821,-109.651355383648,47.0727679385086
28,01779792,31,NE,Nebraska,198956658395,1371829134,980914,3351,892182,3339,803715,3202,88467,2037,6531,485,6131,477,107,76,130,65,38,27,125,70,641,171,1142,207,4198,499,26141,895,6535,553,43544,1256,81.9,0.16795374925367,9,0.205365160365378,0.7,0.0493913373054996,0.6,0.0485812154751281,0,0.00774778634520679,0,0.00662631819159823,0,0.00275250306572838,0,0.00713606875670434,0.1,0.0174312914782757,0.1,0.021099019186697,0.4,0.0508499088432913,2.7,0.090786097537631,0.7,0.0563300333348283,4.4,0.127142638771833,-99.8188235655442,41.5432784559851
29,01779793,32,NV,Nevada,284329506470,2047206072,1351950,5308,1196476,6053,1056958,6487,139518,3740,46574,2048,45986,2064,204,119,270,118,45,42,69,50,936,220,4435,495,5242,582,25750,1334,18999,1151,53538,1663,78.2,0.368801108753799,10.3,0.273654218808638,3.4,0.150879864550997,3.4,0.152083140428494,0,0.00880190129553554,0,0.00872778122482447,0,0.00310659627865546,0,0.00369830734061669,0.1,0.0162705207175563,0.3,0.036591119756274,0.4,0.0430220042551499,1.9,0.0983885135704071,1.4,0.0849573094345049,4,0.122020939533052,-116.666840532159,39.413802164941
30,01779794,33,NH,New Hampshire,23189413166,1026675248,707037,3405,627473,3488,571653,3254,55820,1785,5806,627,4727,584,161,129,204,83,654,186,60,38,604,174,977,243,1833,308,19003,1005,6079,561,45262,1460,80.9,0.245359223503874,7.9,0.249582628761327,0.8,0.0885917190708064,0.7,0.082535446191023,0,0.0182448259198684,0,0.011738308664554,0.1,0.0263031965517804,0,0.0053743865435589,0.1,0.0246063056054149,0.1,0.034362338069531,0.3,0.043544181273461,2.7,0.141551936988687,0.9,0.0792370987442576,6.4,0.204181186920079,-71.5761834052645,43.6962432015678
31,01779795,34,NJ,New Jersey,19047825980,3544860246,4303118,9142,3416225,9614,3071526,8945,344699,5727,494549,5347,266138,4126,3918,483,88728,2140,125090,2620,10675,704,14179,1161,2305,396,12560,883,125663,2931,49207,1810,188430,3281,71.4,0.142178390850507,8,0.131996989921965,11.5,0.121836226475793,6.2,0.0949793945712519,0.1,0.0112227522032207,2.1,0.0495380704462735,2.9,0.060572055354896,0.2,0.0163517385698215,0.3,0.0269713529325606,0.1,0.00920192568423067,0.3,0.020510632587409,2.9,0.0678302579033016,1.1,0.041992306318996,4.4,0.0756773694376506,-74.7267741526774,39.6169036407543
32,00897535,35,NM,New Mexico,314196306401,728776523,880271,4169,794374,4581,706167,4697,88207,2566,10139,947,8942,917,77,63,72,50,1006,219,42,41,192,83,2269,306,5802,579,18023,1145,7004,726,42468,1598,80.2,0.374653066783343,10,0.287612114313494,1.2,0.107442116587213,1,0.104061313305291,0,0.00715676701048301,0,0.00567993688428378,0.1,0.0248728138550735,0,0.00465760174726926,0,0.00942834862778216,0.3,0.0347405801081848,0.7,0.0657010837514543,2,0.129711638480422,0.8,0.0823884690617041,4.8,0.180091355110259,-106.106409224733,34.4614491432654
33,01779796,36,NY,New York,122049149763,19246994695,9246571,17007,5515207,14291,4913896,12163,601311,6929,2591512,10583,533192,6107,9868,1003,1773088,9093,263228,4434,12136,915,55560,2043,6891,572,63313,1966,569444,6975,55475,2124,389169,4691,53.1,0.0880281758921079,6.5,0.0739751512000578,28,0.102187344575633,5.8,0.0651889687324511,0.1,0.0108454882174953,19.2,0.0917968833780009,2.8,0.0476661953131806,0.1,0.00989261525249278,0.6,0.0220670196454562,0.1,0.00618455816349589,0.7,0.0212246051368623,6.2,0.0745780850278809,0.6,0.0229441574138452,4.2,0.0501382405339256,-75.5013589390929,42.965330364791
34,01027616,37,NC,North Carolina,125923656064,13466071395,4660377,10612,4215826,10901,3781646,10302,434180,5585,47381,1439,42455,1402,832,208,2523,359,1233,243,338,128,4815,611,5761,537,9824,794,85152,2360,38580,1817,253038,4192,81.1,0.12134528622421,9.3,0.117947481814072,1,0.0307904221401996,0.9,0.0300118006280933,0,0.0044629731008694,0.1,0.00770225302231124,0,0.00521382239632622,0,0.002746509264648,0.1,0.0131084163270086,0.1,0.0115192343040343,0.2,0.0170304852062122,1.8,0.0504684760520986,0.8,0.0389426663044115,5.4,0.0890960806094005,-79.3637118571318,35.5466450622037
35,01779797,38,ND,North Dakota,178707534813,4403267548,398937,2364,359759,2175,325252,2323,34507,1105,2150,322,1980,316,40,42,21,16,74,80,35,22,302,142,358,99,1485,322,13631,726,2329,316,18923,877,81.5,0.325055859126103,8.6,0.272202315789278,0.5,0.0806512949913334,0.5,0.0791558827442908,0,0.0105278104430853,0,0.00401053701992504,0,0.0200529903713385,0,0.00551441013470274,0.1,0.0355917658318623,0.1,0.0248102502480365,0.4,0.0806843527494814,3.4,0.180853770737011,0.6,0.0791349211693131,4.7,0.218029869586743,-100.471113855255,47.4685693290347
36,01085497,39,OH,Ohio,105828882568,10268850702,5442764,10571,4949445,11535,4526389,11184,423056,5284,87570,2477,83286,2429,954,166,2231,277,613,162,486,139,5501,574,4616,427,16359,1064,121728,2631,37230,1565,220315,3500,83.2,0.127021958916175,7.8,0.0959020910982681,1.6,0.045402556044714,1.5,0.044528990236772,0,0.00304973096267781,0,0.00508870322270707,0,0.0029763485065931,0,0.00255379059271789,0.1,0.0105442851733197,0.1,0.00784354921299269,0.3,0.0195401730582312,2.2,0.0481438485005344,0.7,0.0287230651959661,4,0.0638231752586797,-82.7881144032045,40.3081697476852
37,01102857,40,OK,Oklahoma,177662925723,3374587997,1748344,3884,1615004,4327,1440542,4652,174462,2449,7428,606,6831,647,197,119,73,56,112,55,215,109,1213,324,3041,340,4308,369,31322,1176,15780,730,70248,1545,82.4,0.193117291944945,10,0.138310159929276,0.4,0.0346485181376047,0.4,0.0369962666803111,0,0.00680639480839028,0,0.00320301755152176,0,0.00314580181045463,0,0.0062344111644531,0.1,0.0185311811513955,0.2,0.0194431345881196,0.2,0.0210985864993061,1.8,0.0671458032204729,0.9,0.0417056253080177,4,0.0879173777210449,-97.5154977833938,35.5990615809058
