Object ID,State GNIS Code,fips,State FIPS Postal Code,state,Area of Land (Square Meters),Area of Water (Square Meters),Total Commuters (Workers 16 Years and Over Who Did Not Work at Home),Total Commuters (Workers 16 Years and Over Who Did Not Work at Home) - Margin of Error,Workers whose commute was less than 5 minutes,Workers whose commute was less than 5 minutes - Margin of Error,Workers whose commute was 5 to 9 minutes,Workers whose commute was 5 to 9 minutes - Margin of Error,Workers whose commute was 10 to 14 minutes,Workers whose commute was 10 to 14 minutes - Margin of Error,Workers whose commute was 15 to 19 minutes,Workers whose commute was 15 to 19 minutes - Margin of Error,Workers whose commute was 20 to 24 minutes,Workers whose commute was 20 to 24 minutes - Margin of Error,Workers whose commute was 25 to 29 minutes,Workers whose commute was 25 to 29 minutes - Margin of Error,Workers whose commute was 30 to 34 minutes,Workers whose commute was 30 to 34 minutes - Margin of Error,Workers whose commute was 35 to 39 minutes,Workers whose commute was 35 to 39 minutes - Margin of Error,Workers whose commute was 40 to 44 minutes,Workers whose commute was 40 to 44 minutes - Margin of Error,Workers whose commute was 45 to 59 minutes,Workers whose commute was 45 to 59 minutes - Margin of Error,Workers whose commute was 60 to 89 minutes,Workers whose commute was 60 to 89 minutes - Margin of Error,Workers whose commute was 90 minutes or more,Workers whose commute was 90 minutes or more - Margin of Error,Percent of workers whose commute was less than 5 minutes,Percent of workers whose commute was less than 5 minutes - Margin of Error,Percent of workers whose commute was 5 to 9 minutes,Percent of workers whose commute was 5 to 9 minutes - Margin of Error,Percent of workers whose commute was 10 to 14 minutes,Percent of workers whose commute was 10 to 14 minutes - Margin of Error,Percent of workers whose commute was 15 to 19 minutes,Percent of workers whose commute was 15 to 19 minutes - Margin of Error,Percent of workers whose commute was 20 to 24 minutes,Percent of workers whose commute was 20 to 24 minutes - Margin of Error,Percent of workers whose commute was 25 to 29 minutes,Percent of workers whose commute was 25 to 29 minutes - Margin of Error,Percent of workers whose commute was 30 to 34 minutes,Percent of workers whose commute was 30 to 34 minutes - Margin of Error,Percent of workers whose commute was 35 to 39 minutes,Percent of workers whose commute was 35 to 39 minutes - Margin of Error,Percent of workers whose commute was 40 to 44 minutes,Percent of workers whose commute was 40 to 44 minutes - Margin of Error,Percent of workers whose commute was 45 to 59 minutes,Percent of workers whose commute was 45 to 59 minutes - Margin of Error,Percent of workers whose commute was 60 to 89 minutes,Percent of workers whose commute was 60 to 89 minutes - Margin of Error,Percent of workers whose commute was 90 minutes or more,Percent of workers whose commute was 90 minutes or more - Margin of Error,x,y
21,01714934,24,MD,Maryland,25151100280,6979966958,2879542,6712,44766,1494,165800,3106,271383,3183,351856,4266,368368,4477,177427,3283,429585,4476,112312,2278,157249,2757,350865,3867,320995,4166,128936,2913,1.6,0.0517565498211737,5.8,0.107026147942441,9.4,0.108333529699342,12.2,0.145384913080889,12.8,0.152589888502834,6.2,0.113102936297735,14.9,0.151501801446246,3.9,0.0785856676763755,5.5,0.0948944795311332,12.2,0.13125445721156,11.1,0.142323303602119,4.5,0.100622072388164,-76.7715506628638,39.0398449722806
22,00606926,25,MA,Massachusetts,20205125364,7129925486,3324189,9680,77666,2058,274638,3550,392207,4978,436653,4825,423802,4401,193128,2849,470159,5134,112395,2760,162745,2729,354991,4538,314912,4076,110893,2263,2.3,0.0615348665879143,8.3,0.104047761068529,11.8,0.145756235089074,13.1,0.140017401811561,12.7,0.127081427467104,5.8,0.0840187346389547,14.1,0.148850839899015,3.4,0.0824419241730327,4.9,0.0808478648155143,10.7,0.132925441274257,9.5,0.119472893015912,3.3,0.0673801041517845,-71.7182362783715,42.3595787789504
23,01779789,26,MI,Michigan,146600952990,103885855702,4329997,8801,133178,2333,463123,3739,630779,4619,696900,5182,659652,4910,308878,3292,535625,4480,138413,2608,170975,2981,320022,3660,192296,2845,80156,1858,3.1,0.0535160377911795,10.7,0.0835697227229761,14.6,0.102482688107335,16.1,0.115118859255405,15.2,0.109085248807647,7.1,0.0746323969499665,12.4,0.100362762338573,3.2,0.0598795201051001,3.9,0.068375897558693,7.4,0.0831810033450623,4.4,0.0650814258761529,1.9,0.042744674905007,-84.6218792735369,43.5099917497743
24,00662849,27,MN,Minnesota,206228939448,18945217189,2716866,6105,100087,1907,330114,3256,396501,3436,424117,3642,402565,3499,199727,2815,341844,3546,87285,1799,103350,1753,182483,2602,104096,1875,44697,1243,3.7,0.0697013229836206,12.2,0.116692386453603,14.6,0.122143475438766,15.6,0.129380608141378,14.8,0.124409746164259,7.4,0.102286716881261,12.6,0.127418893035547,3.2,0.0658212876493689,3.8,0.0639541590350422,6.7,0.0945753840796038,3.8,0.0684741990611103,1.6,0.0456016438045296,-94.310728750067,46.3849060350948
25,01779790,28,MS,Mississippi,121533519481,3926919758,1187918,6626,38034,1552,133572,3087,186904,3790,198386,3436,174203,3082,72979,2336,163893,3263,30488,1488,33793,1555,74948,2421,49064,2068,31654,1522,3.2,0.129422414351401,11.2,0.252184413141288,15.7,0.306738087088483,16.7,0.273835354885998,14.7,0.246213986346766,6.1,0.193637920816232,13.8,0.263682034100096,2.6,0.124440454067025,2.8,0.12993603905325,6.3,0.200740596469329,4.1,0.172554992495833,2.7,0.127258304811263,-89.6639862469001,32.7777294970023
26,01779791,29,MO,Missouri,178050802184,2489425460,2717913,7902,95665,2488,314622,4085,389761,4482,440979,5208,416209,4889,186036,3099,364252,4086,85474,1907,95942,2339,186849,2794,94844,2003,47280,1614,3.5,0.0909670310564696,11.6,0.146482578152644,14.3,0.159548280319508,16.2,0.185720533394087,15.3,0.174283735798051,6.8,0.112271239092262,13.4,0.145198728056185,3.1,0.0695658415513385,3.5,0.0854445243039363,6.9,0.100837656354287,3.5,0.0729945560312009,1.7,0.0591680355000144,-92.487249009426,38.3980950254954
27,00767982,30,MT,Montana,376962738765,3869208832,467346,2997,35456,1238,88605,1973,96868,2352,91710,2206,58516,1864,17733,776,34307,1152,5282,420,6449,475,13906,777,10685,734,7829,571,7.6,0.260394042497337,19,0.40428504000341,20.7,0.485397117456298,19.6,0.454943254386641,12.5,0.390682140253874,3.8,0.164251410489776,7.3,0.24196144458863,1.1,0.0895764353140188,1.4,0.101251796854119,3,0.165159353100477,2.3,0.156371232392445,1.7,0.121706083123959,-109.651355383648,47.0727679385086
28,01779792,31,NE,Nebraska,198956658395,1371829134,937370,3541,61719,1585,161940,2455,173223,2454,165600,2535,138795,2314,57817,1385,84933,1620,16011,607,17033,783,32637,1021,17313,844,10349,595,6.6,0.167250757930426,17.3,0.253641660093023,18.5,0.252317365906902,17.7,0.262073780270039,14.8,0.240440564648399,6.2,0.145905082939098,9.1,0.169400630210238,1.7,0.0644333768021625,1.8,0.0832490662413474,3.5,0.108124739308703,1.8,0.0897684171347884,1.1,0.063338305274632,-99.8188235655442,41.5432784559851
29,01779793,32,NV,Nevada,284329506470,2047206072,1298412,5517,28014,1335,104028,2453,173322,3653,217044,4123,240426,3826,108287,2273,218430,3963,33613,1292,42016,1745,65367,1917,40854,1709,27011,1460,2.2,0.102408385578718,8,0.185830578893848,13.3,0.275566999852244,16.7,0.309496149748527,18.5,0.283969395634795,8.3,0.171435809790088,16.8,0.296730699544607,2.6,0.0988963155604168,3.2,0.133689736186183,5,0.146084020422415,3.1,0.130941566406962,2.1,0.112097080203463,-116.666840532159,39.413802164941
30,01779794,33,NH,New Hampshire,23189413166,1026675248,661775,3331,23984,1201,70473,2178,89620,2234,91817,2065,87671,1904,44781,1454,81085,2291,22713,884,28373,1172,55194,1599,43203,1473,22861,995,3.6,0.180562464581283,10.6,0.324720629495997,13.5,0.330623349676721,13.9,0.304124467380226,13.2,0.279877027657534,6.8,0.217056037779973,12.3,0.340652442007394,3.4,0.132458352265167,4.3,0.175779715381399,8.3,0.237948065951814,6.5,0.22014427519261,3.5,0.149344393656621,-71.5761834052645,43.6962432015678
31,01779795,34,NJ,New Jersey,19047825980,3544860246,4114688,9339,83431,2397,315877,4679,474915,4625,513929,5088,539713,5821,255559,4017,548013,5164,129228,2475,195614,3430,406635,4779,436834,4885,214940,3456,2,0.0580726558131067,7.7,0.112371764978717,11.5,0.109306914111923,12.5,0.120361198929462,13.1,0.138300856893279,6.2,0.0966027612867061,13.3,0.121806774711656,3.1,0.0597265003036511,4.8,0.0826586167629605,9.9,0.113958442815773,10.6,0.116250037201699,5.2,0.0831507786811674,-74.7267741526774,39.6169036407543
32,00897535,35,NM,New Mexico,314196306401,728776523,837803,4186,31364,1501,109196,2640,143631,3430,153515,3272,127187,2541,46670,2109,98136,2710,16676,836,20934,1134,45105,1503,29757,1292,15632,1102,3.7,0.178179993659946,13,0.308307425831981,17.1,0.400343087042938,18.3,0.379662880367144,15.2,0.293655426494666,5.6,0.250186433840538,11.7,0.31812644411054,2,0.0992879700920317,2.5,0.13477703523551,5.4,0.177369655890273,3.6,0.153188383923758,1.9,0.131203723534196,-106.106409224733,34.4614491432654
33,01779796,36,NY,New York,122049149763,19246994695,8857402,17393,203000,3524,635275,5682,907298,6242,1027826,7308,1078590,6820,485334,5732,1240381,8225,267391,3812,459429,4519,968168,8318,1080690,7348,504020,5396,2.3,0.0395305731838574,7.2,0.062584597359445,10.2,0.0675405328603134,11.6,0.0792982656763715,12.2,0.0731905960149792,5.5,0.0638134774199665,14,0.0886950914037955,3,0.0426272319000217,5.2,0.0499924339617994,10.9,0.0914243408719036,12.2,0.0794238914861716,5.7,0.0598872680054947,-75.5013589390929,42.965330364791
34,01027616,37,NC,North Carolina,125923656064,13466071395,4407339,10812,122655,2945,425613,4063,642470,6113,756018,5955,690641,5315,314595,4382,584890,5596,140001,3011,149695,2874,313561,4040,181850,3292,85350,2600,2.8,0.0664706808301805,9.7,0.0890912229508397,14.6,0.134011169298708,17.2,0.128395505078419,15.7,0.11430312021491,7.1,0.0978709273599603,13.3,0.122725366371306,3.2,0.0678719811349431,3.4,0.0646748952512919,7.1,0.0899883922870072,4.1,0.0740045836278271,1.9,0.0588009136997007,-79.3637118571318,35.5466450622037
35,01779797,38,ND,North Dakota,178707534813,4403267548,380014,2139,32066,932,78502,2121,87469,2369,76029,2038,40164,1319,11587,680,20110,926,3269,307,4284,362,10140,577,9535,740,6859,483,8.4,0.240611141195411,20.7,0.545891046033606,23,0.609786667718061,20,0.524339211359851,10.6,0.341956213306355,3,0.178115824909767,5.3,0.241847816815106,0.9,0.0806412611630139,1.1,0.0950480726716163,2.7,0.151091849345471,2.5,0.194216836340675,1.8,0.126693891313546,-100.471113855255,47.4685693290347
36,01085497,39,OH,Ohio,105828882568,10268850702,5222449,10920,177666,3141,570975,5073,752233,5655,848856,5766,838746,6545,425253,4069,658730,4967,173013,3147,183893,3581,330062,3763,178560,2741,84462,1982,3.4,0.0597220531477864,10.9,0.0944099581152958,14.4,0.104009666781128,16.3,0.10504679138025,16.1,0.120741254082025,8.1,0.0760305089823363,12.6,0.0913785893231531,3.3,0.0598596050779919,3.5,0.0681729241008199,6.3,0.07083210016056,3.4,0.0519957613756585,1.6,0.0378005783902925,-82.7881144032045,40.3081697476852
37,01102857,40,OK,Oklahoma,177662925723,3374587997,1678096,4258,71718,1448,224762,3001,277126,3203,290306,2884,261338,3230,105851,2257,206105,2525,38478,1166,40532,1136,85020,1645,47950,1235,28910,1060,4.3,0.0856041314782837,13.4,0.175574617738081,16.5,0.186214593083687,17.3,0.166160973459032,15.6,0.188380049765534,6.3,0.133541939131105,12.3,0.147205421518355,2.3,0.0692394925889982,2.4,0.0674177717310093,5.1,0.097181148427337,2.9,0.0732372997785524,1.7,0.0630153866271891,-97.5154977833938,35.5990615809058
38,01155107,41,OR,Oregon,248606993270,6192386935,1765630,6635,65016,1979,212221,3572,271894,3165,291327,4334,257425,3738,111405,2259,214960,3628,45868,1537,62790,1975,120456,2491,78219,2158,34049,1300,3.7,0.111227182355523,12,0.197200764901162,15.4,0.169658519473647,16.5,0.23750457389545,14.6,0.204496794232702,6.3,0.125726724817862,12.2,0.200321005833489,2.6,0.0865019568927091,3.6,0.111056920256944,6.8,0.138733876409828,4.4,0.121083582489642,1.9,0.0732706119597176,-120.552210322461,43.9693307831448
39,01779798,42,PA,Pennsylvania,115884442321,3394589990,5751589,13075,182269,4047,569508,4578,765637,5759,836433,6469,809127,5728,383958,4150,745484,5334,188363,3299,243363,3404,500872,4737,358737,4139,167838,2738,3.2,0.0699933997449898,9.9,0.0763462467021722,13.3,0.0954465030343245,14.5,0.107504886312676,14.1,0.0943154377398922,6.7,0.0705400096178823,13,0.0879343708693944,3.3,0.0568728412517289,4.2,0.0583967690280712,8.7,0.0799452026222704,6.2,0.0705520550950272,2.9,0.0471397625216331,-77.7997846934395,40.8836410342814
40,01219835,44,RI,Rhode Island,2677779902,1323670487,495442,3019,11865,785,49590,1372,74250,2062,79825,1921,80936,2431,34823,1220,62146,1985,15062,905,19323,961,33338,1258,21456,1058,12828,870,2.4,0.15777092556618,10,0.27012431462726,15,0.406051493670376,16.1,0.375098777572996,16.3,0.480469324953501,7,0.24249147170795,12.5,0.393293830688911,3,0.18172338265131,3.9,0.19250676859896,6.7,0.250582144618604,4.3,0.211909885580111,2.6,0.174890552311007,-71.5875066739124,41.6961554477739
