Object ID,State GNIS Code,fips,State FIPS Postal Code,state,Area of Land (Square Meters),Area of Water (Square Meters),Total Population,Total Population - Margin of Error,Male Population,Male Population - Margin of Error,Males Under 5 Years,Males Under 5 Years - Margin of Error,Males 5 to 9 Years,Males 5 to 9 Years - Margin of Error,Males 10 to 14 Years,Males 10 to 14 Years - Margin of Error,Males 15 to 17 Years,Males 15 to 17 Years - Margin of Error,Males 18 to 19 Years,Males 18 to 19 Years - Margin of Error,Males 20 Years,Males 20 Years - Margin of Error,Males 21 Years,Males 21 Years - Margin of Error,Males 22 to 24 Years,Males 22 to 24 Years - Margin of Error,Males 25 to 29 Years,Males 25 to 29 Years - Margin of Error,Males 30 to 34 Years,Males 30 to 34 Years - Margin of Error,Males 35 to 39 Years,Males 35 to 39 Years - Margin of Error,Males 40 to 44 Years,Males 40 to 44 Years - Margin of Error,Males 45 to 49 Years,Males 45 to 49 Years - Margin of Error,Males 50 to 54 Years,Males 50 to 54 Years - Margin of Error,Males 55 to 59 Years,Males 55 to 59 Years - Margin of Error,Males 60 and 61 Years,Males 60 and 61 Years - Margin of Error,Males 62 to 64 Years,Males 62 to 64 Years - Margin of Error,Males 65 and 66 Years,Males 65 and 66 Years - Margin of Error,Males 67 to 69 Years,Males 67 to 69 Years - Margin of Error,Males 70 to 74 Years,Males 70 to 74 Years - Margin of Error,Males 75 to 79 Years,Males 75 to 79 Years - Margin of Error,Males 80 to 84 Years,Males 80 to 84 Years - Margin of Error,Males 85 Years and Over,Males 85 Years and Over - Margin of Error,Female Population,Female Population - Margin of Error,Females Under 5 Years,Females Under 5 Years - Margin of Error,Females 5 to 9 Years,Females 5 to 9 Years - Margin of Error,Females 10 to 14 Years,Females 10 to 14 Years - Margin of Error,Females 15 to 17 Years,Females 15 to 17 Years - Margin of Error,Females 18 to 19 Years,Females 18 to 19 Years - Margin of Error,Females 20 Years,Females 20 Years - Margin of Error,Females 21 Years,Females 21 Years - Margin of Error,Females 22 to 24 Years,Females 22 to 24 Years - Margin of Error,Females 25 to 29 Years,Females 25 to 29 Years - Margin of Error,Females 30 to 34 Years,Females 30 to 34 Years - Margin of Error,Females 35 to 39 Years,Females 35 to 39 Years - Margin of Error,Females 40 to 44 Years,Females 40 to 44 Years - Margin of Error,Females 45 to 49 Years,Females 45 to 49 Years - Margin of Error,Females 50 to 54 Years,Females 50 to 54 Years - Margin of Error,Females 55 to 59 Years,Females 55 to 59 Years - Margin of Error,Females 60 and 61 Years,Females 60 and 61 Years - Margin of Error,Females 62 to 64 Years,Females 62 to 64 Years - Margin of Error,Females 65 and 66 Years,Females 65 and 66 Years - Margin of Error,Females 67 to 69 Years,Females 67 to 69 Years - Margin of Error,Females 70 to 74 Years,Females 70 to 74 Years - Margin of Error,Females 75 to 79 Years,Females 75 to 79 Years - Margin of Error,Females 80 to 84 Years,Females 80 to 84 Years - Margin of Error,Females 85 Years and Over,Females 85 Years and Over - Margin of Error,Ratio of Males to Females,Ratio of Males to Females - Margin of Error,Population Less Than 18 Years,Population Less Than 18 Years - Margin of Error,Percent of Population that is Less Than 18 Years,Percent of Population that is Less Than 18 Years - Margin of Error,Population 65 Years and Over,Population 65 Years and Over - Margin of Error,Percent of Population that is 65 Years and Over,Percent of Population that is 65 Years and Over - Margin of Error,Population in Dependent Age Groups (under 18 and 65+),Population in Dependent Age Groups (under 18 and 65+) - Margin of Error,Percent of Population in Dependent Age Groups (under 18 and 65+),Percent of Population in Dependent Age Groups (under 18 and 65+) - Margin of Error,x,y
11,01705317,13,GA,Georgia,149482048342,4422936154,10297484,,5012229,1630,335188,1030,357301,3735,363608,3787,218482,898,148729,1302,80033,2393,74218,2024,213036,3353,362366,1147,338616,1183,334236,3528,330002,3358,343056,1006,340861,933,314971,2789,118196,2211,152215,2098,92412,2080,129611,2273,159804,2280,101876,1545,59748,1478,43664,1036,5285255,1630,320622,851,339831,4012,354535,3858,211728,851,142267,1216,72963,2138,70935,2008,207461,2932,365322,1073,353480,870,356064,3722,352249,3869,361891,918,361447,838,341093,3106,129881,2327,178312,2383,108999,1912,150647,2293,193751,2514,132646,1903,89416,1656,89715,1373,0.95,9.78415398411218E-05,2501295,7911,24.3,,1352289,6620,13.1,,3853584,10315,37.4,,-83.4512728588705,32.6731573337381
12,01779782,15,HI,Hawaii,16633990195,11777809026,1422029,,713772,168,46487,96,43770,923,42966,933,24119,103,15904,84,10783,688,10900,708,32176,737,55520,150,51456,112,45573,941,44904,940,43746,118,44538,99,45570,1075,18777,672,25405,882,17589,771,22865,729,26963,768,18110,589,12013,536,13638,553,708257,168,43901,107,41344,892,40701,881,23213,110,14438,141,7442,536,8410,583,27108,700,49267,123,48892,148,45560,1080,41907,1084,43226,93,45115,106,47219,936,18834,794,26903,948,18366,662,23878,718,29417,776,20523,707,17498,677,25095,833,1.01,2.96588642115264E-05,306501,1827,21.6,,245955,2422,17.3,,552456,3034,38.8,,-155.521205886131,19.6020249913044
13,01779783,16,ID,Idaho,214049787659,2391722557,1687809,,845564,804,57945,468,63203,1408,64606,1453,38489,488,23499,463,12376,826,11366,839,35578,1155,56883,451,54666,478,55210,1215,50499,1330,49737,470,50218,415,50707,1204,21045,1019,29642,1039,18846,756,25230,825,30975,953,21128,610,13172,616,10544,538,842245,804,56219,462,60162,1419,62390,1503,36162,399,22483,387,11899,940,10927,804,31239,1012,54597,422,54060,396,53223,1245,50272,1276,48399,388,50705,393,54800,1197,20943,884,29859,1016,19562,846,25567,941,33420,938,22757,757,15359,617,17241,713,1,8.48290183257016E-05,439176,3032,26,,253801,2673,15,,692977,4042,41.1,,-114.683878125244,44.467482733905
14,01779784,17,IL,Illinois,143780567633,6214824948,12821497,,6295915,984,397436,478,408589,3334,427108,3341,260062,358,172162,619,88740,1880,90422,1869,266135,2398,454479,667,443198,551,420224,2923,404320,3118,413405,596,428672,517,423041,3231,161290,2376,214985,2797,126371,1700,164710,2200,210099,2353,141562,1564,95207,1483,83698,1401,6525582,984,379521,429,393757,3214,409848,3159,250240,419,165114,799,86413,2570,84799,2321,258808,3270,443317,518,438307,480,421333,3093,406176,3019,422013,576,442449,509,445723,2880,171572,2026,232936,2461,141820,2093,186378,1877,250247,2101,184258,1886,140699,1884,169854,1999,0.96,3.96529280523798E-05,2926561,6581,22.8,,1894903,6580,14.8,,4821464,9306,37.6,,-89.1992243931464,40.1053645021465
15,00448508,18,IN,Indiana,92789302676,1538002829,6637426,,3271068,1278,214555,619,223689,2275,228198,2270,139211,480,95055,628,49742,1495,51584,1792,144082,2120,220237,710,209798,666,209675,2425,200135,2433,209750,708,219912,549,218036,1671,84381,1724,116561,1920,69721,1336,89334,1199,111555,1391,75560,1186,49330,1195,40967,967,3366358,1278,203744,559,213565,1924,217808,1782,133523,553,90559,601,51239,1446,48202,1341,132855,1770,217332,652,209565,545,209727,2575,202177,2349,209651,664,225242,626,230896,2120,87895,1677,122782,1834,75016,1252,102245,1395,129824,1704,97057,1563,70047,1421,85407,1351,0.97,8.96878811208695E-05,1574293,4294,23.7,,996063,4651,15,,2570356,6330,38.7,,-86.2727907508566,39.9332337014215
16,01779785,19,IA,Iowa,144661267977,1084180812,3132499,,1554481,1025,100506,464,104367,1414,105386,1357,62435,427,47632,630,24697,1151,23990,1180,68978,1507,99723,559,101108,598,99404,1376,88682,1398,93739,398,101437,379,104817,1325,42679,969,57561,1158,34355,877,44239,997,55674,1069,40005,742,27572,765,25495,721,1578018,1025,96924,563,99659,1481,100772,1447,59983,343,44690,499,23953,1146,22498,1104,64656,1380,96093,551,96609,451,95418,1211,87513,1193,92343,462,102069,460,108571,1405,41219,1133,59076,1098,35348,1022,48052,1090,62021,1166,49756,992,39373,932,51422,976,0.99,0.000111768901874697,730032,2993,23.3,,513312,3310,16.4,,1243344,4463,39.7,,-93.5022097471626,42.0905515649658
17,00481813,20,KS,Kansas,211755344060,1344141205,2908776,,1449413,942,99309,424,102996,1533,102582,1577,61169,557,42080,597,23953,1198,24550,1204,66267,1379,99768,542,96800,525,92248,1449,85304,1429,84853,548,91287,438,96152,1255,34742,1071,50326,1050,30458,747,39388,930,47475,955,33026,863,23116,738,21564,737,1459363,943,94893,432,98404,1537,98211,1629,57981,458,39314,595,21468,1014,20205,1051,60719,1291,92544,578,94108,401,88271,1627,84568,1605,84162,440,92935,440,96511,1237,38292,974,54027,1069,31794,933,41515,916,54390,953,41954,895,32691,997,40406,740,0.99,6.92033211145591E-05,715545,3277,24.6,,437777,3021,15.1,,1153322,4457,39.6,,-98.380978436543,38.500201327931
18,01779786,21,KY,Kentucky,102279490672,2375337755,4440204,,2186715,1216,141232,567,144262,1882,144977,1912,88746,487,59574,768,33654,1284,33280,1171,92523,1708,149271,622,140310,718,138038,2124,138912,2132,142750,685,150321,641,150850,1861,55450,1491,78084,1578,48132,1078,63752,1210,80795,1315,53660,1056,32428,1022,25714,880,2253489,1216,133208,607,135826,1806,139668,1656,84100,516,57976,715,32402,1394,30630,1143,84142,1425,146552,709,138502,581,139907,1666,137624,1791,144818,581,156215,496,159114,1492,61513,1337,84264,1384,52792,1214,72567,1120,93662,1260,67221,1213,49036,880,51750,1240,0.97,0.000130385065118075,1012019,3794,22.8,,691509,3923,15.6,,1703528,5458,38.4,,-85.2821599133082,37.5343728740713
19,01629543,22,LA,Louisiana,111897594374,23753621895,4663616,,2279968,1060,157355,567,155651,2401,158333,2409,93518,497,61646,899,35539,1631,35427,1460,95651,1938,171475,761,162487,737,151846,2266,133405,2169,137771,682,147343,528,149546,2158,58353,1698,78716,1721,47911,1367,63314,1435,75941,1487,51798,1138,31648,1029,25294,856,2383648,1060,151984,604,153443,2445,148083,2556,90107,470,56229,628,35057,1364,32991,1229,94661,1521,171621,650,164309,536,151197,2276,139749,2169,143848,576,157744,478,161386,1947,63050,1370,87388,1771,52318,1281,70920,1577,92211,1628,66799,1310,48288,1252,50265,1398,0.96,0.000129727039360739,1108474,5023,23.8,,676707,4609,14.5,,1785181,6817,38.3,,-92.7826889226491,31.3393935291076
20,01779787,23,ME,Maine,79887426037,11746549764,1332813,,652299,429,33208,259,36685,948,36809,979,23992,201,16645,210,7905,573,7814,680,24183,795,39578,322,38216,260,36633,950,38475,912,43732,219,49817,215,52468,1073,20335,799,28353,1000,18783,657,24966,804,29707,731,19329,653,12801,550,11865,566,680514,429,31229,289,34016,736,35869,701,22853,251,16257,255,8151,685,8287,592,21013,805,39039,271,39013,259,37688,895,39921,928,45494,256,51691,238,55803,906,22106,881,30359,919,20023,746,25397,705,33552,783,23801,783,17484,571,21468,816,0.96,0.00017964196672002,254661,1773,19.1,,259176,2436,19.4,,513837,3013,38.6,,-69.2227764588879,45.4025915694396
21,01714934,24,MD,Maryland,25151100280,6979966958,6003435,,2910323,576,186840,344,190426,2103,191702,2086,116895,328,79087,457,41166,1319,39688,1291,117449,1541,209055,412,201992,420,191659,2044,181182,2114,197922,383,211521,343,201096,1906,73391,1624,101386,1535,59610,1243,77909,1203,96912,1237,64474,1033,41872,1002,37089,915,3093112,576,179334,296,182217,1998,184210,2020,112553,270,75966,450,37006,1377,37144,1313,116894,1860,207708,426,209316,343,201341,2426,192099,2437,213331,300,229151,209,220599,2002,81418,1530,115354,1769,69024,1375,91215,1487,118940,1628,86661,1585,60222,1312,71409,1452,0.94,6.3067574161342E-05,1344177,4151,22.4,,875337,4530,14.6,,2219514,6144,37,,-76.7715506628638,39.0398449722806
22,00606926,25,MA,Massachusetts,20205125364,7129925486,6830193,,3313979,523,185470,222,186240,2313,204948,2282,128230,343,103219,451,50860,1465,51145,1467,144653,2020,249841,347,231315,328,203435,2246,205395,2175,223410,369,241487,283,233331,1806,87325,1594,119080,1768,70133,1623,92677,1551,120067,1390,76277,1286,54287,1284,51154,1141,3516214,523,177211,211,183150,2270,192509,2283,122139,272,105793,355,51509,1506,51423,1516,142899,1603,248151,330,234335,289,211385,2757,214491,2734,236974,276,254905,240,248449,2190,95002,1878,132260,1867,80096,1485,106104,1806,142678,1957,101225,1653,79591,1463,103935,1655,0.94,4.97159495741894E-05,1379897,4605,20.2,,1078224,5337,15.8,,2458121,7049,36,,-71.7182362783715,42.3595787789504
23,01779789,26,MI,Michigan,146600952990,103885855702,9957488,,4899118,757,293111,448,305110,2548,322016,2608,203374,343,138903,541,76663,1947,74862,2075,214985,2546,331851,560,297916,481,291756,2283,289022,2237,320074,417,344126,415,350830,1879,137589,1884,186436,1841,113006,1785,146845,1623,185639,1677,124857,1366,79592,1370,70555,1310,5058370,757,279263,403,291484,2312,308026,2252,193714,368,133123,458,72166,1594,73251,1643,205222,2144,319172,428,296910,489,294852,2681,294670,2694,326234,376,354837,449,371246,2296,143774,1988,199976,2102,122719,1520,161277,1703,213767,1924,152714,1870,114420,1996,135553,1993,0.97,3.72556407172469E-05,2196098,4932,22.1,,1620944,5870,16.3,,3817042,7667,38.3,,-84.6218792735369,43.5099917497743
24,00662849,27,MN,Minnesota,206228939448,18945217189,5527358,,2751748,749,179875,380,186233,1810,184617,1790,110022,402,72331,524,37892,1313,36115,1154,109878,1687,188730,516,194922,454,182777,1786,164773,1760,174263,463,190011,346,194870,1533,69964,1163,100279,1384,58582,1026,75006,1198,93172,956,63535,957,42503,946,41398,844,2775610,749,171865,366,177695,1642,176879,1635,104421,338,69724,486,35357,1154,35401,1077,107291,1422,179320,484,189972,494,176299,1801,161719,1739,171011,391,190429,360,198585,1630,72268,1203,101458,1474,60585,1116,80594,1235,102752,1323,77644,1056,59403,1013,74938,1046,0.99,3.5308327685019E-05,1291607,3522,23.4,,830112,3699,15,,2121719,5108,38.4,,-94.310728750067,46.3849060350948
25,01779790,28,MS,Mississippi,121533519481,3926919758,2988762,,1450379,1115,95979,700,102480,1952,106018,1953,63377,655,45181,906,23790,1284,22584,1319,61421,1673,100717,735,90580,879,92633,1692,88342,1719,88387,669,93735,604,94243,1462,36691,1480,49642,1153,30461,953,40787,1012,51581,1233,36006,1050,20518,762,15226,884,1538383,1115,92596,766,98094,1694,101336,1780,60428,610,43900,935,22922,1033,23078,1080,58264,1394,101372,630,96094,544,97471,1668,92468,1676,95135,542,101016,498,103293,1699,39832,1212,56185,1467,33996,1059,46741,1145,61955,1279,46106,1151,32666,972,33435,996,0.94,0.000241625516766515,720308,3942,24.1,,449478,3640,15,,1169786,5366,39.1,,-89.6639862469001,32.7777294970023
26,01779791,29,MO,Missouri,178050802184,2489425460,6090062,,2988772,1158,191209,599,194598,2100,201574,2123,122092,608,82610,821,45190,1634,43901,1421,125747,1990,206022,750,198711,770,190079,2174,175047,2153,184785,615,203502,525,204846,1861,78470,1428,108973,1535,64196,1622,85541,1662,112267,1570,76976,1134,50603,1120,41833,1004,3101290,1158,181723,576,186985,1952,191061,1946,115821,567,76296,639,43329,1450,41696,1668,121392,1979,205093,591,199198,664,188912,2230,179482,2242,189784,633,209889,538,220493,2064,83330,1841,116530,1942,70898,1632,97292,1615,131292,1903,98004,1428,70311,1456,82479,1387,0.96,9.96656861067534E-05,1385063,4230,22.7,,981692,5136,16.1,,2366755,6654,38.9,,-92.487249009426,38.3980950254954
27,00767982,30,MT,Montana,376962738765,3869208832,1041732,,524220,629,32041,451,32428,677,32877,750,19675,233,13789,442,8742,706,7621,565,22453,883,34244,384,33057,333,32959,1073,29195,1060,29955,336,33003,277,36495,747,15636,623,22215,683,13700,602,18214,605,23139,618,15307,474,9545,495,7930,451,517512,629,29769,327,31113,910,31350,873,18339,325,12649,396,6482,452,6914,603,21223,774,32246,381,32412,347,31222,874,27533,878,29146,296,33798,274,38760,914,15851,688,22717,905,13298,582,18546,604,22874,852,16596,525,11503,588,13171,562,1.01,0.00019632894177772,227592,1755,21.8,,183823,2037,17.6,,411415,2689,39.5,,-109.651355383648,47.0727679385086
28,01779792,31,NE,Nebraska,198956658395,1371829134,1904760,,949910,674,67859,358,67718,1187,67602,1140,39442,272,27307,320,13668,817,14948,729,41167,1059,64390,322,65885,359,62535,1214,55944,1121,55660,317,59732,279,62220,1010,24543,868,31666,732,19820,558,24724,718,31581,601,22081,588,15354,606,14064,448,954850,673,63953,401,64572,1050,64357,1050,37015,251,25586,374,14545,824,13137,841,39421,1138,60569,317,63533,352,60669,990,53511,988,53974,331,59682,322,63150,1004,24256,725,34464,821,20290,666,27509,704,35129,697,26737,642,21525,619,27266,712,0.99,8.12669643724158E-05,472518,2311,24.8,,286080,2198,15,,758598,3189,39.8,,-99.8188235655442,41.5432784559851
29,01779793,32,NV,Nevada,284329506470,2047206072,2922849,,1467165,377,93316,211,97511,1428,96078,1450,57719,251,33737,270,19239,1082,18535,896,55066,1273,109890,310,106517,276,99481,1714,97941,1642,99550,263,98101,270,92745,1556,35012,1259,49290,1185,30857,1084,43429,1232,57648,1219,37116,968,22677,870,15710,811,1455684,377,88995,245,91454,1483,94554,1465,54849,212,30908,214,17688,1005,17213,926,54537,1203,105969,199,102119,216,96169,1606,96375,1562,95944,247,95051,209,93462,1527,36928,1158,52855,1379,33653,1079,46380,1141,61156,1187,40082,810,25384,842,23959,853,1.01,3.25911872404137E-05,674476,2950,23.1,,438051,3535,15,,1112527,4604,38.1,,-116.666840532159,39.413802164941
30,01779794,33,NH,New Hampshire,23189413166,1026675248,1343622,,664983,433,32777,204,36680,935,38934,960,25686,220,19324,327,9623,573,8856,627,28068,929,42722,301,40204,219,38624,933,38820,933,46684,240,52806,289,54593,1138,19758,864,26922,1042,16994,699,21998,724,26638,747,16705,631,11045,546,10522,614,678639,433,31302,219,35323,1093,37675,1081,24186,227,19456,337,9195,799,9239,808,25183,904,39176,255,39439,223,38050,884,40177,976,47359,238,54071,259,55894,1062,21091,854,27741,915,17026,743,23587,825,29472,831,20468,745,14689,756,18840,701,0.98,0.000127353409223153,262563,2085,19.5,,227984,2487,17,,490547,3245,36.5,,-71.5761834052645,43.6962432015678
31,01779795,34,NJ,New Jersey,19047825980,3544860246,8881845,,4335930,472,266146,204,274580,2498,287970,2547,178390,257,112019,229,56134,1736,58760,1434,172487,1801,290424,320,285524,249,283386,2462,282410,2467,304386,248,322210,259,308091,2265,112999,2005,150687,2083,86995,1696,118292,1932,148824,1732,102064,1490,67531,1389,65621,1313,4545915,472,255538,230,265755,2594,274698,2645,170325,222,104436,267,54403,1656,53892,1710,166770,2069,276273,253,283444,247,289582,2409,287846,2363,319607,258,340042,267,328115,2790,124350,2107,163303,2136,99856,1860,135876,2058,182702,2375,133834,1879,103217,1923,132051,1934,0.95,3.11921354378181E-05,1973402,5164,22.2,,1376863,6308,15.5,,3350265,8152,37.7,,-74.7267741526774,39.6169036407543
32,00897535,35,NM,New Mexico,314196306401,728776523,2092434,,1035850,702,65489,351,68991,1481,74413,1534,43073,340,28906,494,14532,874,16461,1039,46280,1101,72920,451,71647,546,65487,1252,58525,1245,59422,387,64072,315,66737,1276,26595,1034,36576,1149,23323,853,31120,1049,41466,1136,27747,817,17926,848,14142,684,1056584,702,62868,344,68869,1473,69480,1413,40981,374,27228,438,15083,951,14125,851,41375,1154,68360,538,67732,421,62609,1321,60633,1295,61011,359,67898,260,73080,1407,28397,960,41064,1165,26582,1209,34992,1094,45445,1143,32319,888,23045,783,23408,883,0.98,0.000130977435775101,494164,3035,23.6,,341515,3335,16.3,,835679,4509,39.9,,-106.106409224733,34.4614491432654
33,01779796,36,NY,New York,122049149763,19246994695,19618453,,9519555,859,594981,459,572979,3455,586127,3535,362400,410,260177,698,139796,2764,136000,2438,405268,3487,742377,661,684918,642,616111,4299,585959,4234,631943,722,668150,596,648749,3977,246711,3086,327039,3394,197948,2531,258792,2564,328161,2727,226282,2521,153959,2262,144728,2023,10098898,859,568625,437,548195,3531,560394,3485,347932,449,254251,741,135247,2674,133323,3236,406416,3712,741922,590,691625,583,635317,4185,608683,4209,664013,471,711540,478,693619,3693,275065,2931,363912,3397,228196,2963,302021,3438,404448,3810,302182,2695,228389,2465,293583,2447,0.94,2.8395234091783E-05,4141633,7058,21.1,,3068689,9509,15.6,,7210322,11842,36.8,,-75.5013589390929,42.965330364791
34,01027616,37,NC,North Carolina,125923656064,13466071395,10155624,,4944759,1509,308599,789,323060,2894,337551,2892,201335,690,143919,1081,79011,2048,76073,1972,208855,2423,344310,899,318284,816,310634,3347,323661,3191,335652,787,335438,718,323640,2619,122190,1892,167443,2050,106784,1911,146604,1978,181219,2045,120326,1465,73844,1370,56327,1295,5210865,1509,294594,711,312286,3106,321145,3096,194046,544,136995,989,68980,1946,67299,2130,200102,2687,347356,684,329535,810,328935,3177,336015,3198,350558,685,354986,587,353337,2938,135186,2180,193616,2863,121442,1855,166596,2117,219244,2325,154668,1956,109841,1864,114103,1741,0.95,9.13587683688966E-05,2292616,6154,22.6,,1570998,6411,15.5,,3863614,8887,38,,-79.3637118571318,35.5466450622037
35,01779797,38,ND,North Dakota,178707534813,4403267548,752201,,386183,640,26850,261,26003,635,22931,629,13522,362,11561,357,6919,606,7400,742,21228,841,32642,437,29397,511,24267,894,21177,979,20737,361,23332,355,25372,697,9776,491,13204,576,7980,386,9235,483,11960,451,8477,376,5855,299,6358,386,366018,638,25970,305,24634,747,21358,742,12450,281,10118,326,5608,490,5796,572,19620,649,27263,361,24204,233,21413,637,19044,711,19537,301,22380,250,24497,518,8991,516,13090,511,7066,411,9498,424,12989,514,9973,459,9017,578,11502,495,1.06,0.000570022070901802,173718,1509,23.1,,109910,1539,14.6,,283628,2155,37.7,,-100.471113855255,47.4685693290347
36,01085497,39,OH,Ohio,105828882568,10268850702,11641879,,5703967,1143,356158,582,364904,2531,381863,2626,236227,532,159095,667,83433,2035,81108,2086,229404,2785,393824,677,363447,830,350595,3016,342335,2950,368484,689,392569,668,405748,2720,157204,2321,212336,2537,129721,1634,169754,2306,204267,2365,144488,1691,92737,1434,84266,1376,5937912,1143,339775,611,348619,2472,365846,2460,224776,545,152101,789,78172,1930,79030,2021,224283,2494,385070,731,363140,637,351759,2503,348864,2535,376196,594,407180,521,429172,2757,166350,2580,229951,2671,142146,1898,189626,1798,245127,1862,186771,2337,136152,1992,167806,2123,0.96,5.34991818704328E-05,2618168,5173,22.5,,1892861,6680,16.3,,4511029,8449,38.7,,-82.7881144032045,40.3081697476852
37,01102857,40,OK,Oklahoma,177662925723,3374587997,3918137,,1941576,731,135154,378,137262,1498,137209,1531,81186,351,55006,505,30637,921,29915,1090,84040,1142,139956,554,135278,472,125658,1581,116665,1545,114931,455,121758,438,124069,1187,46274,884,64471,1063,39034,933,51888,1002,68963,951,47262,868,30719,733,24241,764,1976561,731,128838,454,130543,1688,131984,1680,76530,307,50273,549,30957,1061,27648,1140,76954,1192,134805,421,131742,465,122208,1386,116843,1370,114977,387,124032,359,130974,1496,49921,1035,70209,1190,42598,1098,60063,1155,78917,1220,58739,1100,42796,1086,44010,1058,0.98,6.92751828616725E-05,958706,3290,24.5,,589230,3491,15,,1547936,4797,39.5,,-97.5154977833938,35.5990615809058
38,01155107,41,OR,Oregon,248606993270,6192386935,4081943,,2023021,728,118970,369,122957,1857,126795,1872,76339,406,49816,582,27326,1266,26926,1141,81255,1425,145960,446,144020,402,141355,1990,130661,1994,129889,454,127306,459,128966,1723,53391,1286,79320,1559,49550,1199,66626,1213,80271,1277,52718,1001,32741,1009,29863,751,2058922,728,112957,427,119662,1771,118774,1748,71724,386,48213,675,27353,942,26395,1085,75788,1350,140633,461,141840,419,138795,1929,126958,1938,127705,460,129210,344,137946,1780,58438,1372,85754,1706,53351,1257,72996,1224,89182,1282,60376,1125,41473,992,53399,1212,0.98,6.57413066711513E-05,868178,3712,21.3,,682546,3945,16.7,,1550724,5417,38,,-120.552210322461,43.9693307831448
39,01779798,42,PA,Pennsylvania,115884442321,3394589990,12791181,,6263189,713,363116,447,370321,3011,392373,3035,243871,370,178501,731,89843,2167,86600,1940,251752,2856,438627,570,407723,642,376257,3033,369650,3023,409982,566,443672,477,455388,3014,176595,2040,240840,2318,144701,1824,194334,1784,239173,1871,166919,1882,115288,1667,107663,1699,6527992,713,346134,441,356853,2799,372450,2767,230212,407,173742,471,86458,1961,87445,2046,240147,2320,422317,505,399081,457,373085,2881,376230,2947,418134,527,459506,400,479286,2778,187882,2602,257247,2403,158387,1920,216160,2098,283264,2225,216092,2199,171292,2036,216588,2471,0.96,3.07926506971946E-05,2675330,5871,20.9,,2229861,6881,17.4,,4905191,9045,38.3,,-77.7997846934395,40.8836410342814
40,01219835,44,RI,Rhode Island,2677779902,1323670487,1056611,,513332,272,28137,187,29302,948,30294,930,19311,165,17232,223,8511,677,7754,625,23724,808,38292,208,34148,228,31068,963,30035,979,33847,204,37099,184,36680,990,14153,761,19099,821,11275,581,15214,611,18719,637,12281,567,8990,460,8167,489,543279,272,26450,184,28233,902,28649,890,18493,160,18342,336,9246,616,9190,704,20555,905,36762,257,33675,225,32049,935,30259,942,35915,194,39784,268,40052,1027,15277,719,20784,891,12566,616,16933,771,22093,763,15583,742,13579,776,18810,711,0.94,0.00016392956748578,208869,1868,19.8,,174210,2259,16.5,,383079,2931,36.3,,-71.5875066739124,41.6961554477739
