Object ID,County GNIS Code,fips,Area of Land (Square Meters),Area of Water (Square Meters),county,state,Median Household Income in past 12 months (inflation-adjusted dollars to last year of 5-year range),Median Household Income in past 12 months (inflation-adjusted dollars to last year of 5-year range) - Margin of Error,"Median Household Income in past 12 months, Householder under 25 years","Median Household Income in past 12 months, Householder under 25 years - Margin of Error","Median Household Income in past 12 months, Householder 25 to 44 years","Median Household Income in past 12 months, Householder 25 to 44 years - Margin of Error","Median Household Income in past 12 months, Householder 45 to 64 years","Median Household Income in past 12 months, Householder 45 to 64 years - Margin of Error","Median Household Income in past 12 months, Householder 65 years and over","Median Household Income in past 12 months, Householder 65 years and over - Margin of Error","Median Household Income in past 12 months, Black or African American Householder","Median Household Income in past 12 months, Black or African American Householder - Margin of Error","Median Household Income in past 12 months, American Indian and Alaska Native Householder","Median Household Income in past 12 months, American Indian and Alaska Native Householder - Margin of Error","Median Household Income in past 12 months, Asian Householder","Median Household Income in past 12 months, Asian Householder - Margin of Error","Median Household Income in past 12 months, Native Hawaiian and Other Pacific Islander Householder","Median Household Income in past 12 months, Native Hawaiian and Other Pacific Islander Householder - Margin of Error","Median Household Income in past 12 months, Some Other Race Householder","Median Household Income in past 12 months, Some Other Race Householder - Margin of Error","Median Household Income in past 12 months, 2 or More Races Householder","Median Household Income in past 12 months, 2 or More Races Householder - Margin of Error","Median Household Income in past 12 months, Non-Hispanic White Householder","Median Household Income in past 12 months, Non-Hispanic White Householder - Margin of Error","Median Household Income in past 12 months, Hispanic or Latino Householder","Median Household Income in past 12 months, Hispanic or Latino Householder - Margin of Error",Total Households,Total Households - Margin of Error,Households with any self-employment income in past 12 months,Households with any self-employment income in past 12 months - Margin of Error,Households with no self-employment income in past 12 months,Households with no self-employment income in past 12 months - Margin of Error,Percent of households with any self-employment income,Percent of households with any self-employment income - Margin of Error,x,y
1274,01622985,26085,1470021792,17522522,Lake County,Michigan,34631,1689,11900,6929,34167,5120,37402,3343,33523,2126,15208,7773,56250,38370,,,,,,,43594,15058,36761,1538,,,4517,133,388,49,4129,129,8.6,1.05489455814328,-85.8016523084665,43.9903333518391
1275,01622986,26087,1669484578,47274003,Lapeer County,Michigan,58952,2015,33267,5132,63984,4381,71632,2487,45261,1916,,,,,,,,,51250,34195,50313,25901,59998,1925,39667,12227,33320,333,3574,329,29746,466,10.7,0.981558597335558,-83.2217779778039,43.0905093936817
1276,01622987,26089,899243343,5659103852,Leelanau County,Michigan,63831,2584,39375,12626,64245,5893,76746,5411,53995,3769,,,40521,5719,66250,49487,,,46422,564,40431,2112,65200,2295,41964,10365,9152,249,1667,153,7485,250,18.2,1.59662562993757,-85.7999157742925,44.8661225150715
1277,01622988,26091,1941541486,30482189,Lenawee County,Michigan,53972,1421,33567,5688,59551,3047,65646,2027,41133,1702,35417,16865,,,136719,48696,,,41094,19086,39875,4248,55135,1372,41448,6449,38222,462,3435,265,34787,535,9,0.684755269245058,-84.0663635299836,41.895347215617
1278,01622989,26093,1463980375,52213955,Livingston County,Michigan,80897,1486,43765,2557,89890,3385,98914,2852,52426,1690,54531,43708,72011,24903,102946,23623,58281,49936,,,63977,27517,80887,1518,83173,14822,71180,496,7487,365,63693,630,10.5,0.507519256923121,-83.9115379053138,42.6031778615548
1279,01622990,26095,2328593563,2624711552,Luce County,Michigan,42255,3662,21875,10627,52411,11808,55208,4076,34688,4212,,,26033,8712,,,,,,,,,43281,5240,,,2190,150,166,39,2024,143,7.6,1.70346333006669,-85.5443827593883,46.4711075260444
1280,01622991,26097,2646617352,2793791917,Mackinac County,Michigan,46507,2323,31384,12558,49602,5336,51832,3185,40728,2937,21875,15356,40481,5809,,,,,,,47361,12548,48760,2437,,,5284,180,738,90,4546,178,14,1.63545541607917,-84.989781878985,46.0776697539474
1281,01622992,26099,1241247601,237430796,Macomb County,Michigan,60466,672,38701,2927,65711,1227,75084,1346,42661,662,43087,1957,43611,15389,71084,4976,73950,33964,38875,10599,57500,7561,62969,680,58194,7146,343592,1244,25160,921,318432,1481,7.3,0.266736133605449,-82.9321985594084,42.6961317334824
1282,01622993,26101,1404616462,1912440723,Manistee County,Michigan,47172,2038,,,48870,4148,55533,3552,40814,2847,,,34931,5696,,,,,,,78304,35980,47079,2053,49570,2109,9591,258,961,122,8630,264,10,1.24314143120078,-86.0567919250566,44.3332431046408
1283,01622994,26103,4685391001,4185367735,Marquette County,Michigan,50771,1421,19831,7227,59530,3398,60844,3071,43252,1522,53661,41395,31111,16958,109375,50582,,,38393,15524,46638,10255,51185,1405,,,26203,493,2245,231,23958,556,8.6,0.866715391916888,-87.6419778457118,46.432747751363
1284,01622995,26105,1281971751,1935608089,Mason County,Michigan,49663,2106,28375,16227,54688,5004,59819,4674,38167,3049,,,34844,29867,18103,6521,,,,,40481,11327,50019,2362,60380,12720,12115,258,1336,158,10779,304,11,1.28284976185452,-86.2499009839179,43.9954434558766
1285,01622996,26107,1437746376,41762974,Mecosta County,Michigan,44460,1813,18255,5334,52014,4484,56471,3233,37576,2639,,,,,,,,,23990,10304,53295,18374,45405,1917,30625,16472,15858,401,1393,166,14465,386,8.8,1.02295164247507,-85.3246410840924,43.6410265843038
1286,01622997,26109,2704053271,761798741,Menominee County,Michigan,45508,1955,33464,7608,53097,3574,53676,2592,32507,2404,,,32105,7995,,,,,,,40875,17238,45871,2035,,,10665,229,959,125,9706,213,9,1.15604551292924,-87.5565272392437,45.5816085311797
1287,01622998,26111,1337113497,30578223,Midland County,Michigan,59271,2398,27739,5668,67617,4016,73205,3276,44777,3290,,,43750,30605,104653,20516,61667,49054,,,60375,33410,59324,2363,53110,7617,34017,406,3044,283,30973,498,8.9,0.825053026991006,-84.3881003646096,43.6471166203125
1288,01622999,26113,1462793644,23588781,Missaukee County,Michigan,44766,1878,30521,7303,49754,3552,50667,3542,38690,2602,49583,10599,39231,21649,,,,,63438,25744,,,44642,1762,47321,12535,6027,166,774,67,5253,167,12.8,1.05389129785556,-85.0946897483687,44.3375861820373
1289,01623000,26115,1422800567,338220996,Monroe County,Michigan,61514,1239,38529,3611,69051,2950,77786,3042,41730,1675,40929,8641,47813,25396,89234,19414,,,51326,30933,63771,18107,62221,1176,46936,11005,59279,582,4250,359,55029,599,7.2,0.601506154218462,-83.5367837054632,41.9287242040497
1290,01623001,26117,1826792558,39945588,Montcalm County,Michigan,47000,1473,38886,6183,53036,2110,54967,2800,33212,1482,31351,6873,,,123438,17363,,,59875,37518,,,47242,1403,31550,13335,23761,403,2098,182,21663,419,8.8,0.751178914131852,-85.1525766759326,43.3111887088857
1291,01623002,26119,1415881033,41352699,Montmorency County,Michigan,42305,2634,,,48922,3892,46458,5539,37525,3507,,,,,,,,,,,,,42588,2597,18438,6867,4195,161,439,75,3756,159,10.5,1.74214652569366,-84.1272033923629,45.0278113729341
1292,01623003,26121,1305064357,2476380060,Muskegon County,Michigan,48329,978,25642,2791,50528,2201,57814,2598,39113,1262,28426,2394,34006,1889,43448,21180,,,55000,15793,34886,6320,52866,1055,45991,7006,65619,618,5222,340,60397,686,8,0.512693286001562,-86.1521772418986,43.2914763491529
1293,01623004,26123,2172732924,59056457,Newaygo County,Michigan,46724,1209,35145,7445,53731,3323,54179,2134,36076,1287,33125,11155,72969,47885,34904,15441,,,33500,6363,26250,22338,47219,1400,45132,9079,19007,261,2070,196,16937,309,10.9,1.02029727064888,-85.8009219808355,43.5547395755367
1294,01623005,26125,2246566547,103166476,Oakland County,Michigan,76387,629,38969,4909,83698,898,93714,1313,52486,807,50357,1549,60070,7231,105614,2465,153125,95250,53137,6984,57464,5473,80678,754,58424,5179,501260,1812,49769,1269,451491,1785,9.9,0.250604904331738,-83.3858215866083,42.6607972134479
1295,01623006,26127,1393655084,1988740920,Oceana County,Michigan,46217,2117,20667,7965,46417,4674,55305,2178,38750,2541,26000,18190,39063,17836,63906,22674,,,37768,6948,41250,25428,47494,2205,34858,5149,10157,227,1140,111,9017,228,11.2,1.06366483337118,-86.2676448604477,43.6411530157984
1296,01623007,26129,1459466633,29641292,Ogemaw County,Michigan,40150,1526,32536,7319,47269,3614,44298,3331,34048,2110,,,,,168375,103551,,,,,74375,56846,39949,1546,,,9296,230,772,93,8524,232,8.3,0.979102638848123,-84.1264186897077,44.3352030312774
1297,01623008,26131,3395416179,6292279422,Ontonagon County,Michigan,38906,2108,8684,1134,50804,12825,46938,6757,33629,1938,,,36250,3144,,,,,,,58750,15531,38802,2204,86250,40560,2876,110,246,49,2630,107,8.6,1.67205059196801,-89.3149415690713,46.6651679009212
1298,01623009,26133,1466674351,17425112,Osceola County,Michigan,42689,1546,30063,8767,47013,2195,47966,4091,35984,2333,2499,,43173,10928,,,,,,,30000,5717,43072,1518,26875,19481,9100,179,960,99,8140,184,10.5,1.06793811866083,-85.3252939931157,43.9900958254171
1299,01623010,26135,1465088063,15136485,Oscoda County,Michigan,40255,2033,42969,14998,51196,9193,41743,2895,34128,4167,,,,,,,,,,,28125,5761,40638,1956,41458,39691,3824,171,420,63,3404,178,11,1.57257701767226,-84.1297758484347,44.6820272133135
1300,01623011,26137,1333913825,28997148,Otsego County,Michigan,52645,2766,36563,11964,61479,6760,55920,4429,44138,3062,,,,,153667,34246,,,,,79000,56650,51984,3054,56351,984,9886,295,983,158,8903,308,9.9,1.57043577817639,-84.5989726793563,45.021684925054
1301,01623012,26139,1459502408,2765830983,Ottawa County,Michigan,67468,984,33992,3022,75533,1921,85003,1662,44540,1352,36339,13369,56221,15640,70488,25056,,,60647,14120,58984,5854,68489,830,57829,3987,101223,637,11683,636,89540,798,11.5,0.62410338124858,-85.9961372063557,42.9601504124321
1302,01623013,26141,1706069997,4957327101,Presque Isle County,Michigan,46439,2090,19743,8592,56713,5169,50742,4671,39754,2833,,,76250,59580,,,,,122917,119292,,,46529,2024,19688,9311,5808,156,640,84,5168,176,11,1.41567262736934,-83.9171115617829,45.340497628499
1303,01623014,26143,1346526278,155723123,Roscommon County,Michigan,40302,1468,22586,4990,44151,4222,39509,3003,39770,2558,,,,,,,,,110500,9870,26167,16682,40565,1464,48125,33812,10899,314,763,107,10136,317,7,0.960800738951978,-84.6116075035903,44.3358777490917
1304,01623015,26145,2073196027,40145325,Saginaw County,Michigan,46919,752,23223,5707,49440,1647,54283,1771,41308,1050,27419,1422,41563,30499,83750,31877,,,39236,6810,25345,5496,52972,939,41066,4004,78648,724,5669,385,72979,732,7.2,0.485004949965729,-84.0531401367619,43.3353231876249
1305,01625033,26147,1868189426,298352909,St. Clair County,Michigan,55240,1156,33977,7008,61565,3575,68754,1811,42241,1396,29879,15512,50000,28905,89091,58607,,,60500,48034,40602,13004,56161,1235,51617,3747,64805,543,5436,357,59369,642,8.4,0.546381340983957,-82.8505656752186,43.0267394629755
1306,01625034,26149,1296536370,52915576,St. Joseph County,Michigan,50117,1027,36875,9012,52230,2563,60788,2916,38067,2582,25776,11364,26304,11307,75333,44226,,,34483,11879,46779,9276,51030,1008,34400,9093,24022,405,2449,203,21573,463,10.2,0.827394372009005,-85.5277470877121,41.9146134103362
1307,01623016,26151,2493045477,1624882510,Sanilac County,Michigan,45277,1461,32784,6550,50948,1853,51085,2247,37791,1751,,,43621,883,27083,5430,,,48304,27906,30833,21109,45590,1666,40729,12876,17179,288,2137,161,15042,291,12.4,0.913693166350053,-82.8204790508895,43.4240935231234
1308,01623017,26153,3035145668,1844210518,Schoolcraft County,Michigan,40747,2495,23472,4311,62850,19932,44750,9485,37951,2435,,,32339,9901,,,,,,,24408,7073,42637,2492,,,3351,131,212,43,3139,125,6.3,1.25913973440596,-86.1994743411081,46.1974316931672
1309,01623018,26155,1375178357,25853173,Shiawassee County,Michigan,54742,1401,38697,3905,58490,2491,65748,2916,40698,1627,,,69688,19602,48438,12105,,,54821,16942,43750,11683,55095,1330,47292,30319,27741,333,2852,290,24889,422,10.3,1.0380741409618,-84.1467353430079,42.9539953311759
1310,01623019,26157,2083665459,283352444,Tuscola County,Michigan,47694,1341,33281,12796,51077,1689,56496,2700,38526,1468,22201,18139,30625,24740,98542,3762,,,72813,36794,26250,7151,47995,1428,49750,5773,21759,304,2303,192,19456,342,10.6,0.869914808085661,-83.4170163879432,43.4649860341945
1311,01623020,26159,1574182109,1248655439,Van Buren County,Michigan,52351,1557,33409,3285,54452,2235,62924,2544,39674,1762,28469,3898,,,57500,13021,,,37143,12024,39658,6879,55323,1772,39839,5347,29013,549,3372,349,25641,574,11.6,1.18263398701259,-86.0189505140873,42.2515417663733
1312,01623021,26161,1828460768,42602260,Washtenaw County,Michigan,69434,1194,29536,3104,74166,1771,94061,2469,56518,1777,41903,1989,63243,8285,68721,5906,29228,27498,47861,16170,62036,12140,75864,1337,51576,6300,140210,1023,16733,759,123477,1168,11.9,0.534281869158173,-83.838767172693,42.2534730433606
1313,01623022,26163,1585054265,157347279,Wayne County,Michigan,45321,376,23860,1717,46461,823,54194,741,37583,430,30768,402,37864,6463,78026,5203,28750,27119,36406,1799,40496,3514,59732,669,42319,1760,676587,2261,41604,1127,634983,2160,6.1,0.165298980259821,-83.2822787576045,42.2820007886095
1314,01623023,26165,1463148723,27182043,Wexford County,Michigan,44166,1397,35433,8497,47990,3365,49973,3144,38035,1908,19048,626,50000,8596,110000,41207,,,,,51635,23641,44303,1405,27065,18223,13053,264,1525,170,11528,342,11.7,1.28076752920515,-85.5784185555728,44.3386330000231
1315,00663198,27001,4718433597,449373340,Aitkin County,Minnesota,45989,2244,31149,8675,53542,5001,54098,3245,38404,1436,7917,5756,33393,7795,84375,21747,,,,,47083,13486,46661,2356,,,7713,249,857,101,6856,223,11.1,1.25939048177045,-93.4154868414863,46.6098710056477
1316,00659447,27003,1092919450,62411173,Anoka County,Minnesota,79923,1132,52432,7182,85135,1941,94593,1702,49581,1751,52267,5833,65429,8091,83469,8211,170938,113287,47917,6471,65897,7866,82334,1052,58465,8026,126848,444,13004,649,113844,713,10.3,0.51037609329983,-93.2465100390777,45.2734495856541
