Object ID,State GNIS Code,fips,State FIPS Postal Code,state,Area of Land (Square Meters),Area of Water (Square Meters),Total Population,Total Population - Margin of Error,Non-Hispanic White Population,Non-Hispanic White Population - Margin of Error,Black or African American Population,Black or African American Population - Margin of Error,American Indian and Alaska Native Population,American Indian and Alaska Native Population - Margin of Error,Asian Population,Asian Population - Margin of Error,Native Hawaiian and Other Pacific Islander Population,Native Hawaiian and Other Pacific Islander Population - Margin of Error,Some Other Race Population,Some Other Race Population - Margin of Error,Two or More Races Population,Two or More Races Population - Margin of Error,Hispanic or Latino Population,Hispanic or Latino Population - Margin of Error,Percent of Population that is Non-Hispanic White,Percent of Population that is Non-Hispanic White - Margin of Error,Percent of Population that is Black or African American,Percent of Population that is Black or African American - Margin of Error,Percent of Population that is American Indian and Alaska Native,Percent of Population that is American Indian and Alaska Native - Margin of Error,Percent of Population that is Asian,Percent of Population that is Asian - Margin of Error,Percent of Population that is Native Hawaiian and Other Pacific Islander,Percent of Population that is Native Hawaiian and Other Pacific Islander - Margin of Error,Percent of Population that is Some Other Race,Percent of Population that is Some Other Race - Margin of Error,Percent of Population that is 2 or More Races,Percent of Population that is 2 or More Races - Margin of Error,Percent of Population that is Hispanic or Latino,Percent of Population that is Hispanic or Latino - Margin of Error,x,y
24,00662849,27,MN,Minnesota,206228939448,18945217189,5527358,,4438071,845,336505,2742,53168,1023,260797,1627,1799,292,7021,905,137233,3436,292764,77,80.3,,6.1,,1,,4.7,,0,,0.1,,2.5,,5.3,,-94.310728750067,46.3849060350948
25,01779790,28,MS,Mississippi,121533519481,3926919758,2988762,,1696952,439,1121752,2388,12990,656,28170,816,654,198,2858,636,34893,2249,90493,722,56.8,,37.5,,0.4,,0.9,,0,,0.1,,1.2,,3,,-89.6639862469001,32.7777294970023
26,01779791,29,MO,Missouri,178050802184,2489425460,6090062,,4848330,1169,699730,2562,23566,991,115311,1398,6037,655,9826,1373,138157,3173,249105,258,79.6,,11.5,,0.4,,1.9,,0.1,,0.2,,2.3,,4.1,,-92.487249009426,38.3980950254954
27,00767982,30,MT,Montana,376962738765,3869208832,1041732,,898953,234,4348,317,64643,1013,7806,484,706,168,486,193,25771,1129,39019,84,86.3,,0.4,,6.2,,0.7,,0.1,,0,,2.5,,3.7,,-109.651355383648,47.0727679385086
28,01779792,31,NE,Nebraska,198956658395,1371829134,1904760,,1512314,436,88442,1204,13918,563,43839,886,1091,199,1982,413,39893,1567,203281,36,79.4,,4.6,,0.7,,2.3,,0.1,,0.1,,2.1,,10.7,,-99.8188235655442,41.5432784559851
29,01779793,32,NV,Nevada,284329506470,2047206072,2922849,,1458093,837,249967,2226,26355,823,229928,2146,17703,556,8693,1072,100513,3351,831597,,49.9,,8.6,,0.9,,7.9,,0.6,,0.3,,3.4,,28.5,,-116.666840532159,39.413802164941
30,01779794,33,NH,New Hampshire,23189413166,1026675248,1343622,,1214547,471,17622,722,1838,290,35848,770,270,86,1323,407,23818,1031,48356,209,90.4,,1.3,,0.1,,2.7,,0,,0.1,,1.8,,3.6,,-71.5761834052645,43.6962432015678
31,01779795,34,NJ,New Jersey,19047825980,3544860246,8881845,,4960005,1670,1129257,3129,9599,636,826944,2549,2255,218,36881,2145,148884,3773,1768020,,55.8,,12.7,,0.1,,9.3,,0,,0.4,,1.7,,19.9,,-74.7267741526774,39.6169036407543
32,00897535,35,NM,New Mexico,314196306401,728776523,2092434,,788308,639,38016,1067,183408,1162,29571,1019,1046,227,4056,640,32278,1896,1015751,,37.7,,1.8,,8.8,,1.4,,0,,0.2,,1.5,,48.5,,-106.106409224733,34.4614491432654
33,01779796,36,NY,New York,122049149763,19246994695,19618453,,10959534,2748,2808679,4596,46139,1401,1616028,4456,5591,677,105032,4281,371862,6041,3705588,,55.9,,14.3,,0.2,,8.2,,0,,0.5,,1.9,,18.9,,-75.5013589390929,42.965330364791
34,01027616,37,NC,North Carolina,125923656064,13466071395,10155624,,6433039,1516,2146254,4749,111360,1289,280059,1938,5677,507,22615,2111,220670,5381,935950,99,63.3,,21.1,,1.1,,2.8,,0.1,,0.2,,2.2,,9.2,,-79.3637118571318,35.5466450622037
35,01779797,38,ND,North Dakota,178707534813,4403267548,752201,,639477,485,20113,767,38308,687,10664,497,366,154,972,499,15772,1072,26529,107,85,,2.7,,5.1,,1.4,,0,,0.1,,2.1,,3.5,,-100.471113855255,47.4685693290347
36,01085497,39,OH,Ohio,105828882568,10268850702,11641879,,9220638,1492,1418048,4353,17723,953,247987,2081,3055,386,18848,1650,284253,4991,431327,293,79.2,,12.2,,0.2,,2.1,,0,,0.2,,2.4,,3.7,,-82.7881144032045,40.3081697476852
37,01102857,40,OK,Oklahoma,177662925723,3374587997,3918137,,2586110,626,282622,1720,280638,2635,82318,1093,3982,514,4790,572,270156,3712,407521,,66,,7.2,,7.2,,2.1,,0.1,,0.1,,6.9,,10.4,,-97.5154977833938,35.5990615809058
38,01155107,41,OR,Oregon,248606993270,6192386935,4081943,,3103557,1164,74356,1403,36776,1501,172505,1873,15301,597,6410,1118,149082,2810,523956,,76,,1.8,,0.9,,4.2,,0.4,,0.2,,3.7,,12.8,,-120.552210322461,43.9693307831448
39,01779798,42,PA,Pennsylvania,115884442321,3394589990,12791181,,9826865,1448,1360576,4028,14419,1003,424597,2084,2702,290,20860,1761,236006,4501,905156,108,76.8,,10.6,,0.1,,3.3,,0,,0.2,,1.8,,7.1,,-77.7997846934395,40.8836410342814
40,01219835,44,RI,Rhode Island,2677779902,1323670487,1056611,,767727,796,59001,1171,3708,535,35128,856,684,274,7090,999,24415,1332,158858,,72.7,,5.6,,0.4,,3.3,,0.1,,0.7,,2.3,,15,,-71.5875066739124,41.6961554477739
41,01779799,45,SC,South Carolina,77864918488,5075218778,4955925,,3156973,826,1328352,2761,14187,681,74278,1243,2812,472,8584,1199,95054,3151,275685,94,63.7,,26.8,,0.3,,1.5,,0.1,,0.2,,1.9,,5.6,,-80.8985136351716,33.916214884517
42,01785534,46,SD,South Dakota,196346981786,3382720225,864289,,710810,338,15840,724,72263,1014,12540,479,236,90,647,361,19958,1496,31995,223,82.2,,1.8,,8.4,,1.5,,0,,0.1,,2.3,,3.7,,-100.232226625261,44.4553415401531
43,01325873,47,TN,Tennessee,106802728188,2350123465,6651089,,4924145,1192,1107218,3096,15172,977,112015,1490,3318,476,9686,1291,127133,3639,352402,309,74,,16.6,,0.2,,1.7,,0,,0.1,,1.9,,5.3,,-86.3397866034863,35.8470257836399
44,01779801,48,TX,Texas,676653171537,19006305260,27885195,,11807263,2579,3269253,5872,68452,1809,1292813,4791,20381,1009,42354,3075,463123,7830,10921556,206,42.3,,11.7,,0.2,,4.6,,0.1,,0.2,,1.7,,39.2,,-99.3717699000508,31.5724078615364
45,01455989,49,UT,Utah,212886221680,6998824394,3045350,,2394238,893,33713,1120,28047,907,68747,1324,26607,965,4802,786,67073,2098,422123,,78.6,,1.1,,0.9,,2.3,,0.9,,0.2,,2.2,,13.9,,-111.682412156266,39.3642277011554
46,01779802,50,VT,Vermont,23874175944,1030416650,624977,,581023,193,7602,394,1867,269,10541,406,170,68,898,258,11199,673,11677,,93,,1.2,,0.3,,1.7,,0,,0.1,,1.8,,1.9,,-72.6609250559808,44.0853991096012
47,01779803,51,VA,Virginia,102257717110,8528531774,8413774,,5233111,1233,1582421,4598,17747,828,526973,3342,4740,427,21295,1586,256310,5272,771177,504,62.2,,18.8,,0.2,,6.3,,0.1,,0.3,,3,,9.2,,-78.8747539368959,37.5231892631893
48,01779804,53,WA,Washington,172112588220,12559278850,7294336,,5039208,1154,259482,2746,80274,1720,602020,3017,46476,1121,12077,1222,343226,4201,911573,,69.1,,3.6,,1.1,,8.3,,0.6,,0.2,,4.7,,12.5,,-120.43028570438,47.397180774417
49,01779805,54,WV,West Virginia,62266474513,489028543,1829054,,1684756,942,65597,1114,3546,476,14353,592,309,127,3060,779,29911,1233,27522,460,92.1,,3.6,,0.2,,0.8,,0,,0.2,,1.6,,1.5,,-80.6087400153847,38.6519367078775
50,01779806,55,WI,Wisconsin,140290039723,29344951758,5778394,,4711038,705,361909,2005,46149,1088,158198,1278,1676,396,4807,698,108838,2777,385779,,81.5,,6.3,,0.8,,2.7,,0,,0.1,,1.9,,6.7,,-90.0210439383857,44.6652937790237
51,01779807,56,WY,Wyoming,251458544898,1867670745,581836,,489559,152,5149,565,12717,594,4660,502,434,231,227,134,12124,863,56966,184,84.1,,0.9,,2.2,,0.8,,0.1,,0,,2.1,,9.8,,-107.55143503067,43.0321218585002
52,01779808,72,PR,Puerto Rico,8868896030,4922382562,3386941,,28015,1580,3107,510,59,36,2337,662,44,39,2289,420,1750,398,3349340,1879,0.8,,0.1,,0,,0.1,,0,,0.1,,0.1,,98.9,,-66.4785923809415,18.2250706456559
