Object ID,State GNIS Code,fips,State FIPS Postal Code,state,Area of Land (Square Meters),Area of Water (Square Meters),Total Population 15 Years and Over,Total Population 15 Years and Over - Margin of Error,Male Population 15 Years and Over,Male Population 15 Years and Over - Margin of Error,Males who are Never Married,Males who are Never Married - Margin of Error,All Males who are Married,All Males who are Married - Margin of Error,"Males who are Married, Spouse Present","Males who are Married, Spouse Present - Margin of Error","All Males who are Married, Spouse Absent","All Males who are Married, Spouse Absent - Margin of Error","Males who are Married, Spouse Absent (Separated)","Males who are Married, Spouse Absent (Separated) - Margin of Error","Males who are Married, Spouse Absent (Other Absence)","Males who are Married, Spouse Absent (Other Absence) - Margin of Error",Males who are Widowed,Males who are Widowed - Margin of Error,Males who are Divorced,Males who are Divorced - Margin of Error,Female Population 15 Years and Over,Female Population 15 Years and Over - Margin of Error,Females who are Never Married,Females who are Never Married - Margin of Error,All Females who are Married,All Females who are Married - Margin of Error,"Females who are Married, Spouse Present","Females who are Married, Spouse Present - Margin of Error","All Females who are Married, Spouse Absent","All Females who are Married, Spouse Absent - Margin of Error","Females who are Married, Spouse Absent (Separated)","Females who are Married, Spouse Absent (Separated) - Margin of Error","Females who are Married, Spouse Absent (Other Absence)","Females who are Married, Spouse Absent (Other Absence) - Margin of Error",Females who are Widowed,Females who are Widowed - Margin of Error,Females who are Divorced,Females who are Divorced - Margin of Error,Total Never Married,Total Never Married - Margin of Error,Percent Never Married,Percent Never Married - Margin of Error,Total Married,Total Married - Margin of Error,Percent Married,Percent Married - Margin of Error,Total Widowed,Total Widowed - Margin of Error,Percent Widowed,Percent Widowed - Margin of Error,Total Divorced,Total Divorced - Margin of Error,Percent Divorced,Percent Divorced - Margin of Error,x,y
14,01779784,17,IL,Illinois,143780567633,6214824948,10405238,725,5062782,820,1925842,8542,2575151,11000,2376175,12148,198976,3461,69876,2072,129100,2856,132194,2176,429595,4440,5342456,880,1731449,7416,2552879,9757,2343108,10977,209771,3790,96069,2194,113702,2864,476995,3212,581133,4668,3657291,11312,35.1,0.108686888019767,5128030,14704,49.3,0.141271715081314,609189,3880,5.9,0.0372866802146921,1010728,6442,9.7,0.0619074263493423,-89.1992243931464,40.1053645021465
15,00448508,18,IN,Indiana,92789302676,1538002829,5335867,814,2604626,1060,891237,5974,1345618,7723,1260843,8400,84775,2272,30510,1379,54265,1610,70747,1552,297024,3476,2731241,1050,766125,5048,1348281,6817,1257365,7563,90916,2386,42320,1447,48596,1762,247543,2579,369292,3857,1657362,7821,31.1,0.146497507366592,2693899,10301,50.5,0.192898343134563,318290,3010,6,0.056403361128936,666316,5192,12.5,0.0972851249514357,-86.2727907508566,39.9332337014215
16,01779785,19,IA,Iowa,144661267977,1084180812,2524885,628,1244222,853,410089,3299,676100,4104,641821,4440,34279,1264,11931,841,22348,985,34281,1001,123752,2180,1280663,792,335810,2872,676411,3875,638709,4161,37702,1346,17140,882,20562,900,122282,1566,146160,2876,745899,4374,29.5,0.173079714469976,1352511,5644,53.6,0.223137517296948,156563,1859,6.2,0.0736109605397387,269912,3609,10.7,0.142912471061991,-93.5022097471626,42.0905515649658
17,00481813,20,KS,Kansas,211755344060,1344141205,2312381,646,1144526,823,375900,3410,620534,4058,582462,4003,38072,1359,12803,787,25269,1241,31448,975,116644,2174,1167855,589,302196,2715,617632,3649,577318,4113,40314,1785,17321,1047,22993,1240,104983,1478,143044,2334,678096,4359,29.3,0.188328900371756,1238166,5457,53.5,0.235515955305332,136431,1771,5.9,0.0765699865353033,259688,3190,11.2,0.137917364831181,-98.380978436543,38.500201327931
18,01779786,21,KY,Kentucky,102279490672,2375337755,3601031,908,1756244,1079,561256,4235,928896,5977,855804,6299,73092,2007,32066,1301,41026,1481,54382,1311,211710,3300,1844787,987,470436,3679,931606,5505,850501,5884,81105,2309,45351,1604,35754,1690,184219,2420,258526,3653,1031692,5610,28.6,0.155621133374726,1860502,8126,51.7,0.225281233407759,238601,2752,6.6,0.0764042933173702,470236,4923,13.1,0.136671189968645,-85.2821599133082,37.5343728740713
19,01629543,22,LA,Louisiana,111897594374,23753621895,3738767,654,1808629,925,701253,5095,860223,6069,773577,6047,86646,2298,38299,1529,48347,1635,55142,1391,192011,3490,1930138,768,634575,5113,857660,5727,762848,5896,94812,2699,54237,1931,40575,1619,190004,2993,247899,4003,1335828,7218,35.7,0.192957109528835,1717883,8345,45.9,0.223057169465951,245146,3300,6.6,0.088256940678818,439910,5311,11.8,0.142037267970442,-92.7826889226491,31.3393935291076
20,01779787,23,ME,Maine,79887426037,11746549764,1124997,267,545597,321,169473,1610,290155,2268,275915,2350,14240,806,4533,457,9707,681,16127,693,69842,1775,579400,381,145182,1767,293233,2344,277238,2449,15995,927,6562,577,9433,724,54357,1163,86628,1836,314655,2390,28,0.212341278224514,583388,3262,51.9,0.289695013253025,70484,1354,6.3,0.120346690695194,156470,2554,13.9,0.226998828090533,-69.2227764588879,45.4025915694396
21,01714934,24,MD,Maryland,25151100280,6979966958,4888706,340,2341355,489,876744,5146,1212646,6001,1092759,6757,119887,2827,45925,1801,73962,1931,56751,1475,195214,2810,2547351,398,833664,4723,1203131,6034,1073069,6802,130062,2987,59761,1663,70301,2400,217525,2395,293031,3116,1710408,6985,35,0.142859624029178,2415777,8510,49.4,0.174040764679474,274276,2813,5.6,0.057539465921048,488245,4196,10,0.0858276730046785,-76.7715506628638,39.0398449722806
22,00606926,25,MA,Massachusetts,20205125364,7129925486,5700665,339,2737321,452,1082681,6509,1369787,7707,1258892,8187,110895,2504,37574,1445,73321,2035,66719,1583,218134,3574,2963344,397,1013609,5283,1379804,7054,1250642,7566,129162,2475,59847,1775,69315,1834,248811,2519,321120,3904,2096290,8383,36.8,0.147036759269174,2749591,10448,48.2,0.183254418165766,315530,2975,5.5,0.0521858559991576,539254,5293,9.5,0.0928471127134111,-71.7182362783715,42.3595787789504
23,01779789,26,MI,Michigan,146600952990,103885855702,8158478,462,3978881,680,1441579,6609,2008690,8946,1885632,9624,123058,2475,43351,1358,79707,1910,112042,2187,416570,4283,4179597,645,1264406,5510,2010617,7889,1883486,8574,127131,2523,56310,1624,70821,1758,379343,3005,525231,4725,2705985,8605,33.2,0.105456379377989,4019307,11928,49.3,0.146177120898141,491385,3717,6,0.0455586917304618,941801,6377,11.5,0.0781613553327104,-84.6218792735369,43.5099917497743
