fips,2020-01-22,2020-01-23,2020-01-24,2020-01-25,2020-01-26,2020-01-27,2020-01-28,2020-01-29,2020-01-30,2020-01-31,2020-02-01,2020-02-02,2020-02-03,2020-02-04,2020-02-05,2020-02-06,2020-02-07,2020-02-08,2020-02-09,2020-02-10,2020-02-11,2020-02-12,2020-02-13,2020-02-14,2020-02-15,2020-02-16,2020-02-17,2020-02-18,2020-02-19,2020-02-20,2020-02-21,2020-02-22,2020-02-23,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17
1021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0.75,0,0.143,0.25,0.1,0.182,0.077,0.071,0,0.2,0.111,0,0.1,0.136,0.08,0.111,0,0.1,0,0.121,0,0,0.054,0.077,0.024,0.023,0.045,0.022,0.043,0,0.041,0,0.02,0.019,0,-0.019,0.038,0.056,0.018,0.034,0.017,0.033,0,0.016,0.016,0.031,0.03,0.058,0.014,0.014,0.027,0
1023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,0.5,0.333,0,0,0,0.25,0.2,0,0,0,0.167,0.286,0.111,0,0.2,0.083,0,0,0.077,0,0.214,0.059,0.167,0.048,0.136,0.08,0.185,0.219,0,0,0.103,0.14,0,0,0.041,0.059,0,0.037,0.054,0.034,0.082,0.015,0.03,0.043,0.069,0.052,0.037,0
1025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.5,1.333,0.286,0,0.111,0,0.3,0,0.154,0.267,0,0.105,0.048,0.091,0,0,0,0,0,0.042,0,-0.04,0.042,0,0.08,0.037,0.107,0.032,0.062,0.118,0.105,0.024,0,0.047,0.111,0.06,-0.019,0.077,0.125,0.016,0.016,0.046,0.029,0.057,0
1027,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,0,0,0.5,1.333,0.143,0.125,0,0,0,0.222,0,0,0.091,0.167,0,0,0,0,0,0.214,0.059,0.056,0,0,0,0,0,0,0,0,0.105,0,0,0,0.048,0,0.091,0.042,0,0.04,0,0,0.038,0,0,0,0,0,0
1029,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,0.333,0.25,0,0,0.2,0,0.167,0,0,0.286,0.333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.083,0,0,0,0,0,0,0,0,0,0,0,0
1031,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.167,0,0.143,0,0.5,0.167,0,0.429,0.6,0.125,0,0.194,0.163,0,0.12,0.054,0.085,0.062,0.074,0.096,0.087,0.011,0.08,0.032,0.071,0.019,0.037,0.054,0.009,0.102,0.031,0,0.03,0.022,0.014,0.021,0,0.027,0.033,0.019,0.006,0.019,0.012,0.012
1033,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,1,0,0,0.25,0,0,0.2,0.167,0,0,0.143,0,0,0.125,0.111,0.1,0,0.182,0,0.154,0.067,0,0,0.25,0.1,0.045,0,0,0,0.174,0.074,0,0.138,0.121,0.108,0,0.024,0.048,0.159,0.235,0.016,0.031,0.061,0.029,0.028,0.068,0.051,0.048,0.046
1035,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,0,0,1,-0.25,0,0,0.667,0,0,0.2,0.333,0,0.25,0,-0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333,0,0.083,0,0.077,0,0.143,0.062,0.059,0,0
1037,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0.5,0.333,0,0,0.5,0,0,0.167,0.143,0.125,0,0.111,0,0.1,0.636,0,0,0.111,0,0,0.1,0,0.045,0.043,0,0.167,0.036,0,0,0.034,0.033,0,-0.065,0,0.034,0,0,0.033,0,0,0,0,0,0.065,0,0,0.03,0,0,0
1039,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.5,0,0.333,0,0,0.25,0,1,0,0,0.1,0.182,0,0.231,0.125,0.056,0,0.105,0.048,0.091,0.083,0.038,0.074,0.069,0.032,0.031,0.03,0.029,0.029,0,0.056,0.132,0.047,0,0.022,0,0.043,0.042,0,0.06,0.038,0.018,0,0,0,0.018,0
